event,ms_since_first_fire,count
txvalid_burst,17431,2000
snapshot_confirmed,173,1
snapshot_confirmed,195,15
snapshot_confirmed,308,1
snapshot_confirmed,331,15
snapshot_confirmed,445,1
snapshot_confirmed,466,15
snapshot_confirmed,578,1
snapshot_confirmed,607,15
snapshot_confirmed,720,1
snapshot_confirmed,745,15
snapshot_confirmed,857,1
snapshot_confirmed,882,15
snapshot_confirmed,994,1
snapshot_confirmed,1022,15
snapshot_confirmed,1132,1
snapshot_confirmed,1165,15
snapshot_confirmed,1272,1
snapshot_confirmed,1295,15
snapshot_confirmed,1408,1
snapshot_confirmed,1428,15
snapshot_confirmed,1540,1
snapshot_confirmed,1564,15
snapshot_confirmed,1680,1
snapshot_confirmed,1705,15
snapshot_confirmed,1815,1
snapshot_confirmed,1846,15
snapshot_confirmed,1956,1
snapshot_confirmed,1975,15
snapshot_confirmed,2084,1
snapshot_confirmed,2104,15
snapshot_confirmed,2216,1
snapshot_confirmed,2242,15
snapshot_confirmed,2358,1
snapshot_confirmed,2385,15
snapshot_confirmed,2496,1
snapshot_confirmed,2534,15
snapshot_confirmed,2645,1
snapshot_confirmed,2671,15
snapshot_confirmed,2786,1
snapshot_confirmed,2808,15
snapshot_confirmed,2923,1
snapshot_confirmed,2944,15
snapshot_confirmed,3055,1
snapshot_confirmed,3086,15
snapshot_confirmed,3196,1
snapshot_confirmed,3218,15
snapshot_confirmed,3331,1
snapshot_confirmed,3352,15
snapshot_confirmed,3466,1
snapshot_confirmed,3490,15
snapshot_confirmed,3599,1
snapshot_confirmed,3621,15
snapshot_confirmed,3729,1
snapshot_confirmed,3761,15
snapshot_confirmed,3880,1
snapshot_confirmed,3902,15
snapshot_confirmed,4013,1
snapshot_confirmed,4037,15
snapshot_confirmed,4151,1
snapshot_confirmed,4173,15
snapshot_confirmed,4283,1
snapshot_confirmed,4318,15
snapshot_confirmed,4443,1
snapshot_confirmed,4469,15
snapshot_confirmed,4585,1
snapshot_confirmed,4610,15
snapshot_confirmed,4726,1
snapshot_confirmed,4746,15
snapshot_confirmed,4857,1
snapshot_confirmed,4890,15
snapshot_confirmed,5014,1
snapshot_confirmed,5034,15
snapshot_confirmed,5145,1
snapshot_confirmed,5166,15
snapshot_confirmed,5278,1
snapshot_confirmed,5299,15
snapshot_confirmed,5411,1
snapshot_confirmed,5432,15
snapshot_confirmed,5546,1
snapshot_confirmed,5580,15
snapshot_confirmed,5697,1
snapshot_confirmed,5725,15
snapshot_confirmed,5835,1
snapshot_confirmed,5855,15
snapshot_confirmed,5973,1
snapshot_confirmed,5993,15
snapshot_confirmed,6098,1
snapshot_confirmed,6128,15
snapshot_confirmed,6243,1
snapshot_confirmed,6263,15
snapshot_confirmed,6380,1
snapshot_confirmed,6406,15
snapshot_confirmed,6523,1
snapshot_confirmed,6544,15
snapshot_confirmed,6659,1
snapshot_confirmed,6692,15
snapshot_confirmed,6808,1
snapshot_confirmed,6828,15
snapshot_confirmed,6933,1
snapshot_confirmed,6953,15
snapshot_confirmed,7065,1
snapshot_confirmed,7085,15
snapshot_confirmed,7195,1
snapshot_confirmed,7216,15
snapshot_confirmed,7336,1
snapshot_confirmed,7368,15
snapshot_confirmed,7484,1
snapshot_confirmed,7507,15
snapshot_confirmed,7623,1
snapshot_confirmed,7643,15
snapshot_confirmed,7758,1
snapshot_confirmed,7777,15
snapshot_confirmed,7888,1
snapshot_confirmed,7921,15
snapshot_confirmed,8031,1
snapshot_confirmed,8053,15
snapshot_confirmed,8166,1
snapshot_confirmed,8185,15
snapshot_confirmed,8332,1
snapshot_confirmed,8364,15
snapshot_confirmed,8478,1
snapshot_confirmed,8500,15
snapshot_confirmed,8615,1
snapshot_confirmed,8636,15
snapshot_confirmed,8750,1
snapshot_confirmed,8771,15
snapshot_confirmed,8883,1
snapshot_confirmed,8905,15
snapshot_confirmed,9017,1
snapshot_confirmed,9049,15
snapshot_confirmed,9166,1
snapshot_confirmed,9192,15
snapshot_confirmed,9306,1
snapshot_confirmed,9327,15
snapshot_confirmed,9445,1
snapshot_confirmed,9469,15
snapshot_confirmed,9580,1
snapshot_confirmed,9610,15
snapshot_confirmed,9728,1
snapshot_confirmed,9753,15
snapshot_confirmed,9860,1
snapshot_confirmed,9882,15
snapshot_confirmed,10018,1
snapshot_confirmed,10057,15
snapshot_confirmed,10171,1
snapshot_confirmed,10192,15
snapshot_confirmed,10311,1
snapshot_confirmed,10333,15
snapshot_confirmed,10444,1
snapshot_confirmed,10465,15
snapshot_confirmed,10577,1
snapshot_confirmed,10599,15
snapshot_confirmed,10714,1
snapshot_confirmed,10746,15
snapshot_confirmed,10859,1
snapshot_confirmed,10882,15
snapshot_confirmed,10994,1
snapshot_confirmed,11018,15
snapshot_confirmed,11131,1
snapshot_confirmed,11154,15
snapshot_confirmed,11269,1
snapshot_confirmed,11303,15
snapshot_confirmed,11418,1
snapshot_confirmed,11440,15
snapshot_confirmed,11554,1
snapshot_confirmed,11575,15
snapshot_confirmed,11684,1
snapshot_confirmed,11705,15
snapshot_confirmed,11819,1
snapshot_confirmed,11839,15
snapshot_confirmed,11951,1
snapshot_confirmed,11981,15
snapshot_confirmed,12096,1
snapshot_confirmed,12119,15
snapshot_confirmed,12233,1
snapshot_confirmed,12258,15
snapshot_confirmed,12369,1
snapshot_confirmed,12392,15
snapshot_confirmed,12500,1
snapshot_confirmed,12533,15
snapshot_confirmed,12654,1
snapshot_confirmed,12678,15
snapshot_confirmed,12789,1
snapshot_confirmed,12810,15
snapshot_confirmed,12925,1
snapshot_confirmed,12948,15
snapshot_confirmed,13063,1
snapshot_confirmed,13094,15
snapshot_confirmed,13211,1
snapshot_confirmed,13235,15
snapshot_confirmed,13349,1
snapshot_confirmed,13373,15
snapshot_confirmed,13488,1
snapshot_confirmed,13509,15
snapshot_confirmed,13627,1
snapshot_confirmed,13656,15
snapshot_confirmed,13773,1
snapshot_confirmed,13797,15
snapshot_confirmed,13906,1
