node_emit_ms,client_recv_ms
0,0
6,0
13,2
18,10
25,14
30,19
36,26
42,31
47,44
55,44
60,49
76,66
82,71
88,77
93,83
99,88
133,122
158,148
164,153
165,154
170,159
175,164
195,184
200,190
206,195
212,201
217,206
222,211
228,217
234,223
239,229
245,234
266,255
290,279
307,296
312,301
318,307
323,312
329,318
334,323
340,329
345,334
351,341
357,346
362,351
368,357
374,363
380,369
402,392
438,427
439,433
445,433
451,440
457,446
462,451
468,461
474,463
479,468
484,473
490,479
496,485
501,490
506,495
514,503
543,532
570,559
575,564
577,570
582,571
588,578
594,584
600,589
606,596
612,601
618,607
626,615
643,632
650,639
655,644
660,653
681,670
708,697
709,702
715,704
720,710
726,715
734,723
739,728
755,744
762,751
768,758
774,763
780,769
786,775
791,780
796,785
817,807
838,827
845,835
851,839
865,855
871,860
876,870
882,872
888,877
894,883
899,888
905,894
911,901
917,910
923,912
928,922
951,940
983,977
990,979
995,984
1000,990
1006,995
1012,1002
1018,1007
1023,1012
1030,1019
1036,1026
1042,1031
1047,1036
1054,1043
1060,1049
1067,1056
1100,1088
1124,1113
1130,1119
1131,1124
1137,1126
1142,1131
1148,1138
1155,1145
1161,1150
1167,1156
1172,1161
1177,1166
1183,1172
1189,1178
1203,1192
1209,1202
1268,1267
1299,1288
1304,1297
1313,1302
1319,1313
1326,1318
1331,1320
1336,1325
1342,1331
1348,1337
1353,1343
1360,1350
1366,1356
1372,1361
1378,1368
1383,1373
1405,1394
1441,1430
1443,1432
1448,1437
1453,1443
1459,1453
1466,1455
1473,1462
1478,1468
1485,1474
1490,1479
1496,1485
1502,1492
1508,1498
1514,1504
1520,1509
1559,1549
1587,1576
1592,1581
1593,1582
1598,1587
1604,1594
1610,1600
1616,1605
1622,1616
1629,1618
1635,1624
1652,1642
1658,1647
1663,1653
1669,1658
1675,1664
1697,1691
1729,1719
1731,1720
1735,1724
1737,1726
1743,1732
1748,1737
1762,1751
1768,1757
1774,1764
1780,1769
1785,1775
1791,1780
1796,1785
1803,1792
1810,1800
1835,1824
1860,1849
1866,1855
1876,1865
1882,1871
1888,1877
1894,1883
1900,1890
1906,1895
1911,1900
1917,1907
1923,1912
1929,1918
1934,1924
1940,1929
1947,1937
1967,1956
2002,1991
2007,1996
2013,2002
2014,2003
2020,2009
2026,2015
2031,2020
2037,2027
2043,2037
2049,2038
2054,2048
2061,2050
2066,2055
2073,2062
2079,2069
2114,2103
2143,2132
2144,2133
2150,2140
2155,2145
2161,2150
2167,2156
2173,2162
2179,2168
2184,2173
2190,2179
2197,2186
2204,2193
2219,2208
2224,2214
2230,2219
2250,2239
2281,2270
2282,2275
2288,2281
2294,2283
2299,2288
2306,2295
2311,2300
2317,2306
2332,2322
2338,2328
2344,2334
2351,2341
2357,2346
2363,2352
2369,2359
2389,2378
2410,2403
2416,2405
2423,2413
2429,2418
2445,2434
2450,2439
2455,2446
2462,2451
2468,2458
2474,2463
2479,2468
2487,2476
2492,2481
2498,2487
2504,2493
2524,2514
2554,2548
2560,2549
2566,2560
2572,2561
2577,2566
2583,2572
2589,2579
2595,2589
2601,2590
2608,2597
2614,2604
2620,2613
2626,2615
2633,2622
2638,2627
2669,2658
2689,2679
2695,2684
2701,2690
2707,2696
2713,2703
2719,2708
2725,2715
2731,2720
2737,2726
2743,2732
2748,2737
2754,2744
2760,2750
2766,2755
2781,2771
2802,2791
2828,2818
2834,2823
2839,2828
2841,2830
2847,2836
2853,2842
2859,2849
2865,2854
2870,2861
2878,2868
2896,2885
2901,2891
2908,2896
2913,2902
2918,2907
2939,2928
2967,2957
2972,2961
2973,2962
2979,2968
2985,2974
2991,2992
3014,3003
3020,3009
3027,3016
3032,3021
3038,3028
3044,3033
3050,3039
3056,3045
3063,3053
3083,3072
3104,3093
3110,3099
3130,3119
3135,3124
3142,3131
3148,3137
3154,3143
3160,3149
3166,3155
3172,3161
3177,3167
3183,3172
3189,3178
3198,3188
3205,3194
3224,3213
3251,3244
3257,3246
3262,3251
3268,3257
3273,3262
3278,3267
3283,3272
3289,3278
3294,3283
3299,3288
3304,3301
3313,3302
3318,3307
3324,3316
3330,3320
3361,3350
3382,3376
3388,3377
3394,3383
3399,3388
3405,3395
3412,3401
3417,3406
3423,3412
3429,3419
3435,3424
3441,3431
3447,3436
3453,3442
3470,3459
3476,3465
3501,3490
3524,3513
3530,3519
3537,3526
3544,3533
3549,3538
3555,3544
3561,3555
3568,3561
3583,3572
3588,3576
3594,3587
3600,3593
3606,3599
3612,3600
3616,3605
3647,3636
3669,3658
3673,3663
3675,3664
3680,3669
3697,3686
3703,3692
3709,3698
3715,3704
3721,3710
3726,3716
3732,3722
3739,3728
3744,3733
3751,3740
3758,3748
3778,3769
3809,3799
3815,3804
3821,3810
3828,3817
3835,3825
3841,3830
3846,3835
3851,3840
3857,3850
3862,3851
3868,3857
3875,3864
3881,3870
3887,3876
3892,3881
3925,3914
3959,3948
3964,3953
3966,3955
3969,3959
3971,3960
3976,3965
3983,3973
3989,3978
3994,3983
4000,3990
4006,3996
4012,4001
4018,4007
4024,4014
4039,4029
4061,4050
4087,4076
4092,4081
4100,4089
4106,4095
4112,4101
4118,4107
4124,4116
4129,4118
4134,4123
4148,4138
4158,4165
4217,4208
4224,4214
4240,4233
4245,4234
4271,4260
4291,4280
4297,4286
4302,4292
4308,4297
4313,4302
4319,4308
4324,4313
4330,4319
4335,4324
4341,4330
4346,4335
4352,4341
4357,4351
4372,4362
4378,4367
4400,4389
4429,4419
4430,4420
4436,4430
4442,4431
4448,4438
4454,4443
4460,4449
4466,4456
4471,4460
4486,4475
4491,4480
4497,4486
4504,4494
4510,4499
4516,4506
4541,4534
4566,4556
4572,4561
4578,4567
4583,4572
4601,4590
4606,4595
4612,4601
4619,4608
4625,4614
4630,4620
4636,4626
4642,4631
4648,4637
4654,4644
4659,4648
4679,4668
4710,4706
4718,4707
4725,4714
4730,4719
4736,4725
4742,4732
4749,4738
4754,4744
4760,4749
4766,4760
4772,4761
4778,4767
4784,4774
4790,4779
4796,4784
4826,4816
4852,4841
4853,4842
4859,4848
4865,4854
4871,4859
4877,4866
4883,4872
4889,4879
4895,4888
4901,4894
4907,4900
4913,4902
4919,4908
4924,4913
4941,4930
4960,4949
4986,4975
4991,4980
4993,4985
5001,4994
5007,4995
5013,5002
5020,5008
5025,5015
5030,5019
5037,5026
5051,5041
5057,5046
5063,5051
5068,5057
5074,5063
5094,5083
5123,5112
5124,5113
5129,5118
5135,5129
5141,5130
5148,5137
5166,5155
5172,5161
5178,5167
5184,5178
5190,5179
5195,5184
5201,5190
5207,5200
5213,5203
5234,5224
5260,5250
5265,5254
5275,5264
5283,5273
5289,5278
5296,5285
5301,5290
5308,5297
5314,5303
5320,5309
5326,5315
5332,5321
5339,5329
5344,5334
5350,5339
5371,5360
5407,5397
5412,5403
5414,5403
5420,5409
5426,5415
5432,5421
5438,5427
5443,5432
5449,5439
5457,5447
5463,5452
5469,5459
5475,5464
5481,5470
5487,5487
5517,5506
5543,5532
5549,5538
5550,5539
5555,5544
5561,5550
5566,5555
5572,5562
5578,5568
5584,5573
5589,5579
5596,5586
5602,5600
5617,5606
5623,5613
5629,5618
5648,5637
5672,5661
5673,5666
5678,5667
5684,5673
5689,5678
5698,5688
5704,5693
5710,5699
5716,5705
5731,5720
5737,5726
5743,5732
5751,5740
5756,5745
5769,5758
5802,5791
5828,5817
5836,5825
5846,5835
5851,5840
5857,5846
5863,5853
5869,5858
5874,5863
5879,5868
5884,5878
5891,5880
5895,5884
5901,5890
5907,5901
5914,5903
5935,5924
5970,5959
5976,5966
5982,5971
5988,5977
5993,5982
5999,5988
6005,5994
6011,6000
6016,6010
6022,6012
6028,6022
6034,6023
6042,6031
6047,6036
6053,6043
6087,6076
6113,6102
6114,6103
6119,6108
6125,6115
6131,6120
6137,6126
6142,6131
6148,6137
6154,6144
6160,6153
6166,6155
6185,6174
6190,6179
6195,6184
6202,6192
6229,6218
6244,6234
6250,6239
6256,6245
6263,6252
6271,6260
6276,6265
6282,6271
6298,6288
6304,6294
6310,6299
6315,6304
6321,6311
6327,6316
6333,6322
6338,6327
6358,6347
6380,6369
6386,6375
6391,6380
6397,6392
6412,6401
6418,6407
6424,6414
6430,6419
6436,6432
6445,6434
6450,6439
6457,6446
6462,6451
6468,6457
6474,6463
6495,6484
6526,6516
6532,6520
6537,6526
6543,6532
6549,6538
6556,6545
6561,6554
6567,6560
6575,6564
6580,6569
6585,6574
6591,6580
6597,6586
6603,6592
6608,6597
6641,6630
6667,6656
6672,6661
6673,6662
