event,ms_since_first_fire,count
txvalid_burst,24339,2000
snapshot_confirmed,166,1
snapshot_confirmed,211,15
snapshot_confirmed,344,1
snapshot_confirmed,390,15
snapshot_confirmed,519,1
snapshot_confirmed,563,15
snapshot_confirmed,700,1
snapshot_confirmed,744,15
snapshot_confirmed,878,1
snapshot_confirmed,922,15
snapshot_confirmed,1074,1
snapshot_confirmed,1118,15
snapshot_confirmed,1249,1
snapshot_confirmed,1292,15
snapshot_confirmed,1433,1
snapshot_confirmed,1481,15
snapshot_confirmed,1639,1
snapshot_confirmed,1686,15
snapshot_confirmed,1818,1
snapshot_confirmed,1871,15
snapshot_confirmed,2005,1
snapshot_confirmed,2052,15
snapshot_confirmed,2209,1
snapshot_confirmed,2259,15
snapshot_confirmed,2396,1
snapshot_confirmed,2452,15
snapshot_confirmed,2594,1
snapshot_confirmed,2647,15
snapshot_confirmed,2782,1
snapshot_confirmed,2827,15
snapshot_confirmed,2958,1
snapshot_confirmed,3003,15
snapshot_confirmed,3145,1
snapshot_confirmed,3187,15
snapshot_confirmed,3339,1
snapshot_confirmed,3380,15
snapshot_confirmed,3515,1
snapshot_confirmed,3570,15
snapshot_confirmed,3710,1
snapshot_confirmed,3752,15
snapshot_confirmed,3887,1
snapshot_confirmed,3934,15
snapshot_confirmed,4069,1
snapshot_confirmed,4122,15
snapshot_confirmed,4265,1
snapshot_confirmed,4312,15
snapshot_confirmed,4458,1
snapshot_confirmed,4504,15
snapshot_confirmed,4637,1
snapshot_confirmed,4685,15
snapshot_confirmed,4815,1
snapshot_confirmed,4862,15
snapshot_confirmed,4991,1
snapshot_confirmed,5037,15
snapshot_confirmed,5180,1
snapshot_confirmed,5221,15
snapshot_confirmed,5362,1
snapshot_confirmed,5404,15
snapshot_confirmed,5540,1
snapshot_confirmed,5593,15
snapshot_confirmed,5736,1
snapshot_confirmed,5780,15
snapshot_confirmed,5921,1
snapshot_confirmed,5972,15
snapshot_confirmed,6101,1
snapshot_confirmed,6143,15
snapshot_confirmed,6279,1
snapshot_confirmed,6328,15
snapshot_confirmed,6474,1
snapshot_confirmed,6531,15
snapshot_confirmed,6691,1
snapshot_confirmed,6736,15
snapshot_confirmed,6863,1
snapshot_confirmed,6907,15
snapshot_confirmed,7038,1
snapshot_confirmed,7088,15
snapshot_confirmed,7216,1
snapshot_confirmed,7258,15
snapshot_confirmed,7401,1
snapshot_confirmed,7444,15
snapshot_confirmed,7573,1
snapshot_confirmed,7622,15
snapshot_confirmed,7763,1
snapshot_confirmed,7807,15
snapshot_confirmed,7953,1
snapshot_confirmed,7997,15
snapshot_confirmed,8131,1
snapshot_confirmed,8180,15
snapshot_confirmed,8316,1
snapshot_confirmed,8361,15
snapshot_confirmed,8492,1
snapshot_confirmed,8549,15
snapshot_confirmed,8685,1
snapshot_confirmed,8731,15
snapshot_confirmed,8870,1
snapshot_confirmed,8916,15
snapshot_confirmed,9051,1
snapshot_confirmed,9095,15
snapshot_confirmed,9240,1
snapshot_confirmed,9284,15
snapshot_confirmed,9426,1
snapshot_confirmed,9477,15
snapshot_confirmed,9616,1
snapshot_confirmed,9657,15
snapshot_confirmed,9797,1
snapshot_confirmed,9842,15
snapshot_confirmed,10000,1
snapshot_confirmed,10048,15
snapshot_confirmed,10190,1
snapshot_confirmed,10239,15
snapshot_confirmed,10382,1
snapshot_confirmed,10430,15
snapshot_confirmed,10577,1
snapshot_confirmed,10626,15
snapshot_confirmed,10782,1
snapshot_confirmed,10831,15
snapshot_confirmed,10962,1
snapshot_confirmed,11026,15
snapshot_confirmed,11167,1
snapshot_confirmed,11216,15
snapshot_confirmed,11363,1
snapshot_confirmed,11408,15
snapshot_confirmed,11552,1
snapshot_confirmed,11596,15
snapshot_confirmed,11737,1
snapshot_confirmed,11779,15
snapshot_confirmed,11911,1
snapshot_confirmed,11957,15
snapshot_confirmed,12098,1
snapshot_confirmed,12153,15
snapshot_confirmed,12286,1
snapshot_confirmed,12339,15
snapshot_confirmed,12478,1
snapshot_confirmed,12523,15
snapshot_confirmed,12674,1
snapshot_confirmed,12723,15
snapshot_confirmed,12862,1
snapshot_confirmed,12910,15
snapshot_confirmed,13164,1
snapshot_confirmed,13214,15
snapshot_confirmed,13357,1
snapshot_confirmed,13403,15
snapshot_confirmed,13663,1
snapshot_confirmed,13729,15
snapshot_confirmed,13863,1
snapshot_confirmed,13927,15
snapshot_confirmed,14109,1
snapshot_confirmed,14163,15
snapshot_confirmed,14344,1
snapshot_confirmed,14398,15
snapshot_confirmed,14555,1
snapshot_confirmed,14616,15
snapshot_confirmed,14800,1
snapshot_confirmed,14849,15
snapshot_confirmed,15040,1
snapshot_confirmed,15094,15
snapshot_confirmed,15230,1
snapshot_confirmed,15281,15
snapshot_confirmed,15408,1
snapshot_confirmed,15455,15
snapshot_confirmed,15587,1
snapshot_confirmed,15629,15
snapshot_confirmed,15767,1
snapshot_confirmed,15815,15
snapshot_confirmed,15974,1
snapshot_confirmed,16022,15
snapshot_confirmed,16160,1
snapshot_confirmed,16217,15
snapshot_confirmed,16349,1
snapshot_confirmed,16408,15
snapshot_confirmed,16618,1
snapshot_confirmed,16689,15
snapshot_confirmed,16832,1
snapshot_confirmed,16882,15
snapshot_confirmed,17046,1
snapshot_confirmed,17099,15
snapshot_confirmed,17235,1
snapshot_confirmed,17283,15
snapshot_confirmed,17474,1
snapshot_confirmed,17520,15
snapshot_confirmed,17697,1
snapshot_confirmed,17747,15
snapshot_confirmed,17892,1
snapshot_confirmed,17937,15
snapshot_confirmed,18072,1
snapshot_confirmed,18148,15
snapshot_confirmed,18333,1
snapshot_confirmed,18403,15
snapshot_confirmed,18571,1
snapshot_confirmed,18622,15
snapshot_confirmed,18787,1
snapshot_confirmed,18837,15
snapshot_confirmed,18996,1
snapshot_confirmed,19041,15
snapshot_confirmed,19184,1
snapshot_confirmed,19236,15
snapshot_confirmed,19367,1
snapshot_confirmed,19408,15
snapshot_confirmed,19537,1
snapshot_confirmed,19581,15
snapshot_confirmed,19717,1
snapshot_confirmed,19763,15
snapshot_confirmed,19908,1
snapshot_confirmed,19952,15
snapshot_confirmed,20085,1
snapshot_confirmed,20139,15
snapshot_confirmed,20264,1
snapshot_confirmed,20309,15
snapshot_confirmed,20444,1
snapshot_confirmed,20491,15
snapshot_confirmed,20635,1
snapshot_confirmed,20680,15
snapshot_confirmed,20843,1
snapshot_confirmed,20888,15
snapshot_confirmed,21041,1
snapshot_confirmed,21090,15
snapshot_confirmed,21225,1
snapshot_confirmed,21271,15
snapshot_confirmed,21411,1
snapshot_confirmed,21459,15
snapshot_confirmed,21591,1
snapshot_confirmed,21642,15
snapshot_confirmed,21784,1
snapshot_confirmed,21838,15
snapshot_confirmed,21977,1
snapshot_confirmed,22020,15
snapshot_confirmed,22155,1
snapshot_confirmed,22211,15
snapshot_confirmed,22360,1
snapshot_confirmed,22415,15
snapshot_confirmed,22550,1
snapshot_confirmed,22596,15
snapshot_confirmed,22727,1
snapshot_confirmed,22780,15
snapshot_confirmed,22948,1
snapshot_confirmed,23037,15
snapshot_confirmed,23199,1
snapshot_confirmed,23246,15
snapshot_confirmed,23389,1
snapshot_confirmed,23434,15
snapshot_confirmed,23575,1
snapshot_confirmed,23618,15
snapshot_confirmed,23778,1
snapshot_confirmed,23825,15
snapshot_confirmed,23967,1
snapshot_confirmed,24021,15
snapshot_confirmed,24160,1
snapshot_confirmed,24208,15
snapshot_confirmed,24350,1
snapshot_confirmed,24392,15
