node_emit_ms,client_recv_ms
0,0
60,60
101,101
150,151
202,202
252,252
302,302
353,353
410,410
452,452
501,501
551,552
601,601
651,651
701,701
752,752
801,801
857,857
900,900
951,951
1001,1001
1051,1050
1101,1101
1151,1151
1201,1201
1252,1252
1307,1307
1352,1352
1418,1418
1452,1452
1503,1503
1553,1553
1601,1601
1651,1651
1701,1704
1753,1753
1802,1802
1860,1860
1903,1903
1953,1953
2002,2002
2052,2052
2101,2101
2151,2151
2202,2202
2252,2252
2313,2313
2353,2353
2404,2404
2453,2452
2504,2504
2554,2554
2604,2604
2654,2654
2706,2706
2763,2763
2805,2805
2855,2855
2905,2905
2955,2955
3005,3005
3056,3056
3105,3105
3155,3155
3208,3208
3256,3256
3317,3317
3356,3356
3406,3406
3456,3456
3506,3506
3557,3557
3606,3606
3662,3662
3706,3706
3758,3761
3808,3808
3859,3859
3908,3908
3958,3958
4010,4010
4060,4060
4110,4110
4160,4160
4217,4217
4260,4260
4310,4311
4361,4361
4410,4410
4461,4461
4511,4511
4561,4561
4610,4610
4662,4662
4713,4713
4773,4773
4812,4812
4861,4861
4911,4911
4961,4961
5010,5010
5061,5061
5112,5114
5162,5162
5220,5220
5261,5261
5311,5311
5361,5361
5410,5410
5461,5461
5511,5511
5566,5566
5611,5611
5671,5671
5711,5711
5761,5761
5811,5811
5862,5862
5911,5911
5962,5962
