event,ms_since_first_fire,count
txvalid_burst,4066,458
txvalid_burst,7062,329
txvalid_burst,11186,445
txvalid_burst,16387,554
txvalid_burst,23169,700
txvalid_burst,31770,848
txvalid_burst,42712,1051
txvalid_burst,46919,60
snapshot_confirmed,104,1
snapshot_confirmed,186,5
snapshot_confirmed,405,8
snapshot_confirmed,1020,23
snapshot_confirmed,2781,65
snapshot_confirmed,5654,100
snapshot_confirmed,9295,100
snapshot_confirmed,14057,100
snapshot_confirmed,20351,100
snapshot_confirmed,28131,100
snapshot_confirmed,38092,100
