node_emit_ms,client_recv_ms
0,0
24,26
43,38
53,49
93,85
99,90
105,103
113,103
129,119
136,125
140,133
146,136
150,144
183,176
194,184
200,190
206,196
214,207
225,221
237,227
249,242
259,249
277,267
284,274
293,286
305,302
320,310
326,316
333,323
342,332
347,337
354,344
361,354
371,361
378,368
383,376
395,385
410,401
462,452
468,458
480,470
486,476
492,483
499,493
510,500
523,516
535,528
545,537
551,541
557,546
562,552
568,558
574,565
582,574
595,585
602,598
612,605
623,614
633,626
647,637
653,643
658,648
667,660
675,665
682,672
709,700
716,706
723,713
729,726
755,748
766,759
781,771
787,776
793,787
805,795
811,802
818,808
824,814
830,820
837,830
854,847
867,859
877,868
889,879
895,885
901,891
906,896
913,904
918,908
924,914
931,925
939,931
944,937
955,945
968,960
976,966
980,974
988,982
1000,993
1008,1000
1019,1012
1030,1020
1036,1026
1043,1033
1048,1038
1055,1045
1061,1051
1069,1059
1081,1074
1122,1115
1131,1128
1254,1244
1264,1258
1279,1269
1286,1276
1291,1281
1303,1297
1315,1311
1329,1323
1343,1332
1350,1340
1356,1346
1363,1356
1378,1371
1389,1379
1395,1388
1406,1396
1414,1407
1425,1415
1432,1422
1438,1428
1443,1433
1450,1440
1456,1446
1462,1452
1468,1458
1474,1468
1486,1479
1497,1486
1503,1493
1509,1501
1520,1510
1534,1527
1545,1535
1550,1540
1557,1547
1563,1553
1571,1564
1582,1572
1588,1578
1595,1585
1600,1591
1607,1600
1617,1609
1623,1617
1634,1624
1650,1644
1661,1651
1667,1657
1674,1664
1679,1669
1687,1677
1698,1688
1704,1700
1710,1700
1718,1711
1730,1720
1737,1730
1759,1752
1779,1773
1786,1775
1793,1783
1798,1788
1805,1795
1812,1802
1817,1807
1825,1815
1836,1830
1843,1834
1850,1840
1856,1846
1863,1858
1874,1867
1886,1877
1893,1883
1920,1914
1931,1921
1939,1929
1945,1935
1956,1949
1968,1957
1974,1964
1985,1975
1992,1984
1999,1989
2006,1996
2012,2002
2018,2008
2025,2024
2036,2026
2043,2033
2048,2038
2055,2045
2060,2050
2068,2057
2074,2064
2080,2070
2086,2076
2092,2086
2103,2096
2114,2108
2126,2116
2132,2122
2139,2130
2146,2139
2159,2153
2163,2153
2170,2166
2184,2178
2197,2187
2201,2195
2212,2205
2222,2212
2232,2221
2236,2230
2247,2244
2262,2252
2268,2263
2284,2276
2290,2280
2297,2287
2304,2297
2313,2305
2328,2321
2339,2329
2345,2335
2351,2341
2357,2346
2363,2352
2369,2359
2374,2364
2382,2372
2388,2378
2394,2384
2399,2389
2406,2396
2419,2413
2430,2423
2439,2431
2448,2438
2453,2443
2461,2451
2468,2461
2479,2469
2490,2481
2495,2485
2504,2497
2514,2504
2519,2509
2526,2515
2532,2522
2540,2530
2557,2547
2562,2552
2567,2560
2575,2564
2579,2569
2583,2577
2595,2585
2601,2590
2608,2598
2614,2604
2639,2646
2675,2665
2681,2671
2688,2678
2694,2684
2699,2689
2705,2694
2710,2701
2718,2709
2723,2713
2730,2720
2737,2727
2741,2734
2751,2741
2758,2748
2764,2753
2770,2760
2777,2770
2787,2776
2793,2783
2799,2789
2805,2794
2812,2802
2819,2808
2825,2815
2831,2821
2838,2828
2845,2834
2850,2840
2862,2852
2867,2857
