event,ms_since_first_fire,count
txvalid_burst,17187,2000
snapshot_confirmed,142,1
snapshot_confirmed,161,15
snapshot_confirmed,270,1
snapshot_confirmed,289,15
snapshot_confirmed,396,1
snapshot_confirmed,416,15
snapshot_confirmed,529,1
snapshot_confirmed,552,15
snapshot_confirmed,679,1
snapshot_confirmed,708,15
snapshot_confirmed,816,1
snapshot_confirmed,835,15
snapshot_confirmed,955,1
snapshot_confirmed,976,15
snapshot_confirmed,1089,1
snapshot_confirmed,1109,15
snapshot_confirmed,1216,1
snapshot_confirmed,1235,15
snapshot_confirmed,1342,1
snapshot_confirmed,1374,15
snapshot_confirmed,1480,1
snapshot_confirmed,1501,15
snapshot_confirmed,1613,1
snapshot_confirmed,1633,15
snapshot_confirmed,1745,1
snapshot_confirmed,1765,15
snapshot_confirmed,1873,1
snapshot_confirmed,1896,15
snapshot_confirmed,2007,1
snapshot_confirmed,2029,15
snapshot_confirmed,2135,1
snapshot_confirmed,2162,15
snapshot_confirmed,2274,1
snapshot_confirmed,2295,15
snapshot_confirmed,2406,1
snapshot_confirmed,2425,15
snapshot_confirmed,2530,1
snapshot_confirmed,2550,15
snapshot_confirmed,2661,1
snapshot_confirmed,2682,15
snapshot_confirmed,2791,1
snapshot_confirmed,2811,15
snapshot_confirmed,2918,1
snapshot_confirmed,2944,15
snapshot_confirmed,3050,1
snapshot_confirmed,3069,15
snapshot_confirmed,3179,1
snapshot_confirmed,3201,15
snapshot_confirmed,3314,1
snapshot_confirmed,3337,15
snapshot_confirmed,3445,1
snapshot_confirmed,3464,15
snapshot_confirmed,3569,1
snapshot_confirmed,3600,15
snapshot_confirmed,3698,1
snapshot_confirmed,3733,15
snapshot_confirmed,3853,1
snapshot_confirmed,3873,15
snapshot_confirmed,4108,1
snapshot_confirmed,4133,15
snapshot_confirmed,4252,1
snapshot_confirmed,4272,15
snapshot_confirmed,4384,1
snapshot_confirmed,4403,15
snapshot_confirmed,4510,1
snapshot_confirmed,4530,15
snapshot_confirmed,4638,1
snapshot_confirmed,4666,15
snapshot_confirmed,4774,1
snapshot_confirmed,4798,15
snapshot_confirmed,4908,1
snapshot_confirmed,4930,15
snapshot_confirmed,5039,1
snapshot_confirmed,5061,15
snapshot_confirmed,5182,1
snapshot_confirmed,5206,15
snapshot_confirmed,5313,1
snapshot_confirmed,5343,15
snapshot_confirmed,5457,1
snapshot_confirmed,5480,15
snapshot_confirmed,5595,1
snapshot_confirmed,5616,15
snapshot_confirmed,5731,1
snapshot_confirmed,5763,15
snapshot_confirmed,5890,1
snapshot_confirmed,5932,15
snapshot_confirmed,6044,1
snapshot_confirmed,6065,15
snapshot_confirmed,6172,1
snapshot_confirmed,6193,15
snapshot_confirmed,6303,1
snapshot_confirmed,6323,15
snapshot_confirmed,6434,1
snapshot_confirmed,6455,15
snapshot_confirmed,6565,1
snapshot_confirmed,6596,15
snapshot_confirmed,6712,1
snapshot_confirmed,6731,15
snapshot_confirmed,6844,1
snapshot_confirmed,6865,15
snapshot_confirmed,6977,1
snapshot_confirmed,6999,15
snapshot_confirmed,7106,1
snapshot_confirmed,7129,15
