node_emit_ms,client_recv_ms
0,0
7,4
13,9
19,15
25,21
31,27
41,37
46,42
52,48
58,53
63,59
79,75
84,80
90,86
97,93
102,98
135,131
162,158
162,158
166,162
172,168
178,174
198,193
203,198
208,204
214,210
220,216
226,222
232,227
237,233
243,239
250,245
268,264
302,298
302,298
307,303
315,310
320,316
326,321
331,327
339,334
344,341
352,348
357,353
363,359
370,366
376,372
382,378
403,398
437,433
438,433
443,439
448,444
453,449
459,455
465,461
470,466
477,472
483,478
488,484
493,489
499,495
505,501
511,507
542,538
568,564
568,564
573,569
579,575
585,581
591,586
596,592
602,598
618,614
624,620
630,626
645,641
651,647
657,653
663,659
681,677
706,702
706,702
712,708
718,714
724,720
730,726
736,732
741,737
757,753
762,758
768,764
775,770
780,775
787,782
792,788
812,808
840,836
840,836
847,842
852,848
868,863
873,869
879,874
885,881
891,887
897,893
903,898
909,905
914,910
920,916
926,922
948,944
978,974
983,979
990,986
996,992
1002,998
1007,1003
1013,1009
1019,1015
1025,1020
1030,1026
1037,1032
1042,1038
1048,1043
1054,1050
1060,1056
1093,1089
1118,1114
1119,1114
1123,1119
1128,1124
1135,1130
1140,1136
1147,1142
1152,1148
1158,1154
1165,1161
1170,1165
1175,1171
1181,1177
1187,1183
1193,1189
1220,1216
1251,1247
1251,1247
1252,1248
1257,1253
1263,1259
1268,1264
1274,1270
1280,1276
1286,1282
1294,1290
1301,1297
1317,1313
1322,1318
1329,1324
1334,1330
1355,1351
1380,1376
1380,1376
1386,1382
1392,1387
1397,1393
1403,1399
1409,1405
1414,1410
1432,1428
1438,1434
1446,1441
1452,1448
1460,1456
1467,1463
1476,1471
1501,1497
1528,1524
1529,1524
1544,1540
1550,1546
1556,1552
1563,1558
1569,1565
1575,1571
1581,1577
1589,1585
1597,1598
1605,1601
1613,1609
1619,1615
1625,1621
1653,1649
1678,1674
1679,1674
1686,1681
1692,1687
1697,1693
1702,1698
1708,1704
1714,1710
1720,1716
1725,1721
1731,1727
1738,1733
1743,1739
1750,1746
1769,1765
1789,1785
1813,1809
1813,1809
1819,1815
1824,1820
1829,1825
1835,1831
1842,1838
1848,1844
1854,1850
1862,1857
1867,1863
1883,1879
1888,1883
1893,1889
1899,1895
1922,1918
1948,1943
1948,1944
1953,1949
1960,1955
1965,1961
1971,1966
1976,1972
1983,1979
2000,1995
2005,2001
2011,2007
2017,2013
2023,2019
2029,2025
2035,2031
2058,2053
2083,2079
2083,2079
2088,2083
2093,2089
2099,2095
2117,2113
2124,2119
2129,2125
2135,2131
2140,2136
2147,2142
2152,2148
2158,2154
2163,2159
2177,2172
2195,2191
2229,2225
2234,2230
2240,2236
2246,2242
2253,2248
2258,2254
2264,2260
2271,2266
2276,2272
2282,2278
2288,2284
2294,2290
2301,2297
2306,2302
2313,2309
2347,2343
2378,2374
2378,2374
2379,2374
2384,2379
2390,2386
2396,2392
2403,2398
2408,2403
2414,2410
2420,2416
2426,2422
2433,2429
2438,2434
2444,2440
2462,2458
2483,2478
2507,2503
2507,2503
2511,2507
2517,2513
2523,2519
2529,2524
2535,2531
2541,2537
2547,2543
2553,2549
2560,2555
2579,2575
2584,2580
2590,2586
2597,2592
2617,2612
2643,2639
2643,2639
2650,2645
2655,2651
2661,2657
2667,2663
2672,2668
2678,2674
2694,2689
2699,2694
2707,2703
2713,2709
2720,2716
2727,2722
2734,2730
2772,2768
2772,2768
2778,2774
2784,2780
2790,2786
2808,2803
2813,2809
2819,2814
2824,2820
2829,2825
2836,2831
2841,2837
2847,2843
2854,2849
2860,2855
2866,2862
2901,2897
2934,2930
2934,2930
2941,2936
2946,2941
2951,2947
2958,2953
2963,2959
2969,2964
2974,2970
2980,2976
2987,2982
2992,2988
2999,2994
3005,3000
3010,3006
3042,3038
3073,3069
3073,3069
3074,3069
3079,3075
3085,3081
3091,3086
3096,3092
3102,3098
3108,3104
3114,3110
3119,3115
3124,3120
3131,3126
3149,3144
3154,3150
3177,3172
3202,3198
3202,3198
3208,3204
3214,3209
3219,3215
3224,3220
3229,3225
3235,3230
3240,3236
3246,3242
3264,3260
3269,3265
3275,3271
3281,3277
3287,3283
3309,3305
3335,3331
3335,3331
3341,3337
3353,3349
3353,3349
3360,3356
3375,3370
3381,3377
3387,3383
3393,3389
3400,3395
3406,3402
3411,3407
3418,3414
3424,3419
3445,3441
3470,3466
3470,3466
3484,3480
3490,3486
3497,3492
3504,3499
3510,3506
3515,3511
3522,3517
3527,3523
3533,3528
3538,3534
3545,3540
3551,3547
3557,3553
3580,3575
3615,3611
3616,3612
3622,3617
3627,3623
3632,3628
3638,3634
3644,3640
3652,3648
3658,3654
3664,3660
3670,3666
3676,3672
3683,3678
3689,3685
3705,3700
3725,3721
3757,3753
3757,3753
3757,3753
3763,3759
3770,3765
3775,3771
3780,3776
3786,3782
3792,3788
3798,3794
3803,3799
3819,3815
3825,3821
3832,3828
3839,3834
3858,3854
3888,3884
3888,3884
3889,3885
3895,3891
3901,3897
3907,3903
3913,3909
3930,3925
3935,3931
3941,3937
3946,3942
3953,3948
3958,3954
3964,3960
3971,3997
4027,4023
4064,4060
4065,4060
4072,4068
4078,4074
4083,4079
4089,4085
4095,4091
4101,4097
4106,4102
4116,4111
4121,4117
4127,4122
4133,4128
4138,4134
4145,4141
4171,4167
4200,4196
4200,4196
4201,4196
4206,4202
4212,4208
4218,4214
4223,4219
4229,4225
4235,4230
4240,4236
4246,4242
4253,4248
4269,4264
4275,4271
4281,4277
4303,4299
4329,4325
4329,4325
4335,4331
4341,4336
4346,4342
4352,4348
4358,4354
4364,4359
4379,4375
4385,4381
4392,4388
4398,4394
4404,4400
4411,4407
4416,4412
4439,4435
4471,4467
4472,4468
4472,4468
4478,4474
4494,4490
4500,4496
4506,4502
4512,4508
4518,4514
4524,4520
4531,4526
4536,4532
4542,4537
4549,4544
4555,4550
4579,4575
4622,4618
4622,4618
4622,4618
4628,4624
4635,4630
4640,4636
4645,4641
4651,4648
4658,4654
4663,4658
4669,4665
4676,4672
4682,4678
4688,4684
4695,4691
4724,4720
4755,4751
4755,4751
4756,4751
4761,4757
4767,4763
4774,4769
4779,4775
4785,4781
4791,4787
4797,4793
4804,4800
4809,4805
4816,4811
4822,4818
4839,4835
4859,4855
4889,4885
4889,4885
4890,4885
4895,4891
4902,4897
4908,4904
4914,4910
4920,4916
4926,4922
4932,4928
4937,4933
4953,4949
4959,4955
4966,4961
4972,4968
4993,4990
5018,5014
5018,5014
5023,5019
5029,5025
5035,5030
5042,5037
5048,5044
5062,5058
5068,5064
5074,5070
5080,5076
5087,5082
5092,5088
5098,5094
5103,5099
5128,5124
5161,5157
5161,5157
5163,5158
5179,5175
5185,5181
5193,5188
5199,5194
5204,5200
5211,5206
5217,5213
5224,5220
5230,5226
5236,5232
5242,5238
5249,5244
5275,5271
5311,5307
5312,5307
5317,5313
5323,5319
5330,5325
5335,5331
5341,5337
5347,5343
5353,5349
5359,5355
5365,5360
5370,5366
5376,5372
5382,5378
5389,5385
5423,5419
5450,5446
5451,5446
5456,5452
5461,5457
5466,5462
5471,5467
5478,5473
5484,5480
5490,5486
5495,5491
5501,5497
5507,5502
5525,5520
5530,5526
5538,5534
5560,5556
5590,5586
5590,5586
5591,5586
5597,5593
5602,5598
5608,5604
5614,5610
5620,5616
5636,5632
5641,5637
5647,5643
5653,5649
5660,5656
5665,5661
5671,5667
5692,5688
5716,5712
5717,5713
5722,5718
5728,5724
5737,5733
5749,5745
5755,5751
5760,5756
5766,5762
5772,5768
5778,5774
5784,5780
5790,5786
5795,5791
5802,5798
5822,5818
5861,5857
5862,5857
5867,5863
5872,5868
5879,5874
5886,5882
5891,5887
5897,5893
5903,5899
5909,5905
5915,5911
5921,5917
5928,5923
5933,5929
5939,5935
5959,5954
5995,5991
5996,5991
6002,5998
6008,6004
6014,6010
6020,6016
6026,6021
6031,6027
6038,6033
6043,6039
6049,6044
6054,6050
6060,6056
6067,6062
6072,6068
6105,6101
6131,6126
6131,6127
6137,6133
6143,6139
6149,6145
6154,6150
6161,6156
6166,6162
6172,6168
6178,6174
6184,6180
6200,6195
6206,6202
6213,6208
6218,6213
6240,6236
6270,6266
6270,6266
6271,6266
6276,6272
6281,6277
6287,6283
6293,6288
6298,6294
6314,6310
6319,6315
6325,6321
6330,6326
6336,6332
6341,6337
6346,6342
6367,6363
6393,6389
6393,6389
6400,6395
6406,6401
6411,6407
6425,6421
6431,6426
6437,6433
6443,6439
6448,6444
6454,6450
6460,6456
6466,6462
6473,6469
6478,6474
6501,6497
6537,6533
6537,6533
