node_emit_ms,client_recv_ms
0,0
7,7
14,12
20,18
26,30
45,43
51,49
56,54
62,60
67,65
74,72
81,78
86,83
92,89
99,97
104,102
181,179
212,211
212,211
213,211
217,215
223,220
229,227
234,232
240,238
246,243
268,265
274,271
278,276
284,282
290,287
296,293
330,327
364,363
365,363
365,363
383,381
389,386
393,391
399,397
404,402
410,407
446,444
447,445
448,446
449,446
451,449
457,455
463,460
499,497
500,498
505,503
513,511
518,516
524,522
530,527
534,532
541,539
576,574
577,574
577,575
578,576
582,579
588,585
593,591
645,642
650,647
655,653
660,658
665,663
672,670
677,675
684,681
689,686
694,692
701,698
707,705
722,719
727,725
733,731
739,737
812,810
852,850
853,851
854,851
858,855
863,861
869,866
875,872
882,879
887,885
894,892
900,897
906,903
911,909
917,914
924,921
977,975
1027,1025
1028,1026
1029,1026
1030,1027
1030,1028
1035,1032
1040,1038
1057,1054
1063,1061
1068,1066
1075,1073
1081,1078
1088,1085
1094,1092
1100,1098
1143,1141
1173,1171
1177,1174
1185,1182
1191,1189
1196,1194
1202,1199
1207,1204
1212,1210
1217,1215
1222,1220
1228,1226
1234,1231
1238,1236
1244,1242
1256,1254
1292,1290
1328,1326
1329,1327
1330,1328
1330,1328
1335,1333
1341,1339
1346,1344
1352,1350
1358,1355
1364,1362
1370,1367
1376,1374
1381,1380
1396,1393
1439,1437
1440,1437
1474,1472
1474,1472
1475,1473
1476,1473
1479,1477
1484,1482
1489,1487
1495,1492
1508,1506
1514,1511
1519,1517
1525,1522
1531,1528
1537,1534
1580,1578
1581,1579
1618,1617
1619,1617
1621,1618
1626,1624
1631,1629
1636,1634
1643,1640
1647,1645
1652,1650
1658,1656
1665,1662
1670,1668
1675,1673
1682,1679
1725,1722
1725,1723
1766,1764
1767,1765
1768,1765
1768,1766
1773,1770
1781,1779
1785,1782
1791,1789
1797,1794
1803,1801
1808,1806
1813,1811
1818,1816
1824,1821
1876,1874
1877,1874
1910,1908
1911,1909
1911,1909
1918,1916
1925,1923
1929,1926
1935,1933
1942,1940
1970,1968
1982,1980
1987,1985
2000,1998
2006,2004
2030,2028
2075,2072
2076,2073
2117,2115
2121,2118
2121,2119
2122,2120
2123,2120
2127,2125
2134,2132
2138,2136
2143,2141
2150,2147
2159,2158
2168,2166
2174,2171
2178,2176
2222,2220
2223,2220
2274,2272
2275,2272
2283,2280
2289,2286
2293,2291
2310,2307
2315,2312
2320,2318
2327,2325
2334,2332
2340,2337
2345,2343
2351,2349
2356,2354
2363,2361
2369,2367
2453,2451
2496,2496
2497,2496
2498,2496
2499,2496
2499,2497
2503,2500
2509,2506
2514,2512
2520,2517
2537,2535
2549,2547
2555,2553
2560,2558
2566,2563
2572,2569
2604,2602
2644,2642
2645,2642
2645,2643
2648,2646
2653,2651
2658,2656
2663,2661
2669,2667
2676,2673
2682,2679
2719,2718
2720,2718
2721,2719
2722,2719
2729,2727
2734,2732
2780,2780
2787,2785
2793,2791
2799,2797
2804,2802
2811,2808
2817,2814
2823,2821
2828,2826
2834,2831
2838,2836
2845,2843
2849,2847
2855,2853
2873,2870
2879,2877
2952,2950
2987,2984
2988,2986
2993,2991
2999,2996
3004,3002
3011,3009
3016,3014
3023,3020
3029,3026
3035,3033
3041,3039
3051,3049
3059,3056
3064,3062
3071,3068
3114,3112
3152,3149
3153,3150
3153,3151
3154,3152
3157,3155
3165,3162
3170,3168
3176,3173
3186,3183
3193,3190
3208,3205
3213,3211
3219,3217
3225,3223
3232,3230
3274,3272
3305,3302
3306,3304
3320,3318
3326,3323
3330,3328
3338,3335
3343,3341
3350,3347
3356,3354
3362,3360
3369,3366
3375,3372
3380,3378
3386,3384
3391,3388
3435,3433
3471,3469
3472,3469
3472,3471
3473,3471
3476,3474
3482,3480
3488,3486
3494,3491
3499,3497
3506,3503
3511,3509
3516,3514
3522,3519
3528,3525
3545,3543
3586,3583
3620,3617
3620,3618
3621,3619
3623,3620
3627,3625
3635,3632
3638,3636
3653,3651
3660,3658
3665,3663
3671,3669
3677,3674
3683,3680
3688,3685
3693,3691
3733,3731
3768,3765
3769,3766
3774,3771
3780,3777
3785,3783
3792,3789
3798,3795
3804,3801
3809,3807
3814,3812
3823,3820
3829,3826
3836,3834
3840,3838
3846,3843
3887,3885
3925,3923
3931,3929
3938,3936
3944,3941
3950,3947
3956,3954
3961,3959
3967,3965
3973,3971
3992,3990
3997,3994
4005,4003
4008,4005
4014,4011
4020,4018
4026,4024
4103,4101
4142,4139
4143,4141
4144,4141
4144,4142
4148,4146
4155,4153
4160,4158
4165,4163
4172,4170
4178,4175
4183,4181
4189,4186
4195,4192
4201,4199
4217,4215
4257,4255
4291,4289
4291,4289
4293,4291
4299,4296
4304,4302
4309,4307
4327,4324
4331,4329
4338,4335
4344,4342
4350,4348
4357,4355
4364,4362
4371,4369
4377,4375
4420,4418
4474,4472
4475,4472
4475,4473
4476,4474
4477,4474
4481,4479
4487,4484
4493,4490
