event,ms_since_first_fire,count
txvalid_burst,19967,2000
snapshot_confirmed,157,1
snapshot_confirmed,200,15
snapshot_confirmed,224,1
snapshot_confirmed,369,1
snapshot_confirmed,411,15
snapshot_confirmed,525,1
snapshot_confirmed,571,15
snapshot_confirmed,684,1
snapshot_confirmed,741,15
snapshot_confirmed,864,1
snapshot_confirmed,909,15
snapshot_confirmed,1022,1
snapshot_confirmed,1081,15
snapshot_confirmed,1202,1
snapshot_confirmed,1245,15
snapshot_confirmed,1357,1
snapshot_confirmed,1402,15
snapshot_confirmed,1589,1
snapshot_confirmed,1635,15
snapshot_confirmed,1748,1
snapshot_confirmed,1799,15
snapshot_confirmed,1892,1
snapshot_confirmed,1954,12
snapshot_confirmed,2003,4
snapshot_confirmed,2113,1
snapshot_confirmed,2156,15
snapshot_confirmed,2287,1
snapshot_confirmed,2333,15
snapshot_confirmed,2491,1
snapshot_confirmed,2544,15
snapshot_confirmed,2612,1
snapshot_confirmed,2697,9
snapshot_confirmed,2748,7
snapshot_confirmed,2855,6
snapshot_confirmed,2924,10
snapshot_confirmed,3013,6
snapshot_confirmed,3086,10
snapshot_confirmed,3190,6
snapshot_confirmed,3253,10
snapshot_confirmed,3350,6
snapshot_confirmed,3413,10
snapshot_confirmed,3498,6
snapshot_confirmed,3545,10
snapshot_confirmed,3638,6
snapshot_confirmed,3694,10
snapshot_confirmed,3766,6
snapshot_confirmed,3827,10
snapshot_confirmed,3911,6
snapshot_confirmed,3964,10
snapshot_confirmed,4056,6
snapshot_confirmed,4109,10
snapshot_confirmed,4188,6
snapshot_confirmed,4250,10
snapshot_confirmed,4341,6
snapshot_confirmed,4404,10
snapshot_confirmed,4499,6
snapshot_confirmed,4545,10
snapshot_confirmed,4625,6
snapshot_confirmed,4678,10
snapshot_confirmed,4761,6
snapshot_confirmed,4829,10
snapshot_confirmed,4900,6
snapshot_confirmed,4960,10
snapshot_confirmed,5059,5
snapshot_confirmed,5105,11
snapshot_confirmed,5138,5
snapshot_confirmed,5282,1
snapshot_confirmed,5327,15
snapshot_confirmed,5444,1
snapshot_confirmed,5493,15
snapshot_confirmed,5618,1
snapshot_confirmed,5663,15
snapshot_confirmed,5784,1
snapshot_confirmed,5833,15
snapshot_confirmed,5944,1
snapshot_confirmed,5988,15
snapshot_confirmed,6107,1
snapshot_confirmed,6151,15
snapshot_confirmed,6271,1
snapshot_confirmed,6332,15
snapshot_confirmed,6453,1
