event,ms_since_first_fire,count
txvalid_burst,16490,2000
snapshot_confirmed,120,1
snapshot_confirmed,138,15
snapshot_confirmed,248,1
snapshot_confirmed,267,15
snapshot_confirmed,374,1
snapshot_confirmed,404,15
snapshot_confirmed,531,1
snapshot_confirmed,553,15
snapshot_confirmed,661,1
snapshot_confirmed,681,15
snapshot_confirmed,789,1
snapshot_confirmed,807,15
snapshot_confirmed,916,1
snapshot_confirmed,934,15
snapshot_confirmed,1037,1
snapshot_confirmed,1056,15
snapshot_confirmed,1163,1
snapshot_confirmed,1182,15
snapshot_confirmed,1291,1
snapshot_confirmed,1322,15
snapshot_confirmed,1429,1
snapshot_confirmed,1449,15
snapshot_confirmed,1548,1
snapshot_confirmed,1568,15
snapshot_confirmed,1677,1
snapshot_confirmed,1696,15
snapshot_confirmed,1812,1
snapshot_confirmed,1833,15
snapshot_confirmed,1946,1
snapshot_confirmed,1973,15
snapshot_confirmed,2069,1
snapshot_confirmed,2098,15
snapshot_confirmed,2203,1
snapshot_confirmed,2223,15
snapshot_confirmed,2326,1
snapshot_confirmed,2349,15
snapshot_confirmed,2456,1
snapshot_confirmed,2476,15
snapshot_confirmed,2586,1
snapshot_confirmed,2606,15
snapshot_confirmed,2713,1
snapshot_confirmed,2734,15
snapshot_confirmed,2839,1
snapshot_confirmed,2862,15
snapshot_confirmed,2965,1
snapshot_confirmed,2992,15
snapshot_confirmed,3097,1
snapshot_confirmed,3120,15
snapshot_confirmed,3228,1
snapshot_confirmed,3247,15
snapshot_confirmed,3356,1
snapshot_confirmed,3376,15
snapshot_confirmed,3485,1
snapshot_confirmed,3504,15
snapshot_confirmed,3609,1
snapshot_confirmed,3631,15
snapshot_confirmed,3760,1
snapshot_confirmed,3786,15
snapshot_confirmed,3899,1
snapshot_confirmed,3917,15
snapshot_confirmed,4018,1
snapshot_confirmed,4037,15
snapshot_confirmed,4144,1
snapshot_confirmed,4163,15
snapshot_confirmed,4267,1
snapshot_confirmed,4288,15
snapshot_confirmed,4395,1
snapshot_confirmed,4416,15
snapshot_confirmed,4522,1
snapshot_confirmed,4552,15
snapshot_confirmed,4673,1
snapshot_confirmed,4694,15
snapshot_confirmed,4800,1
snapshot_confirmed,4822,15
snapshot_confirmed,4929,1
snapshot_confirmed,4948,15
snapshot_confirmed,5050,1
snapshot_confirmed,5069,15
snapshot_confirmed,5174,1
snapshot_confirmed,5195,15
snapshot_confirmed,5306,1
snapshot_confirmed,5326,15
snapshot_confirmed,5438,1
snapshot_confirmed,5471,15
snapshot_confirmed,5583,1
snapshot_confirmed,5602,15
snapshot_confirmed,5719,1
snapshot_confirmed,5739,15
snapshot_confirmed,5847,1
snapshot_confirmed,5869,15
snapshot_confirmed,5980,1
snapshot_confirmed,6000,15
snapshot_confirmed,6107,1
snapshot_confirmed,6140,15
snapshot_confirmed,6237,1
snapshot_confirmed,6269,15
snapshot_confirmed,6376,1
snapshot_confirmed,6397,15
snapshot_confirmed,6504,1
snapshot_confirmed,6528,15
snapshot_confirmed,6637,1
snapshot_confirmed,6657,15
snapshot_confirmed,6769,1
snapshot_confirmed,6789,15
snapshot_confirmed,6903,1
