event,ms_since_first_fire,count
txvalid_burst,19443,2000
snapshot_confirmed,157,1
snapshot_confirmed,197,15
snapshot_confirmed,304,1
snapshot_confirmed,349,15
snapshot_confirmed,413,1
snapshot_confirmed,572,1
snapshot_confirmed,614,15
snapshot_confirmed,731,1
snapshot_confirmed,776,15
snapshot_confirmed,881,1
snapshot_confirmed,925,14
snapshot_confirmed,1024,2
snapshot_confirmed,1072,13
snapshot_confirmed,1180,3
snapshot_confirmed,1220,13
snapshot_confirmed,1319,3
snapshot_confirmed,1366,13
snapshot_confirmed,1457,3
snapshot_confirmed,1508,13
snapshot_confirmed,1542,3
snapshot_confirmed,1660,1
snapshot_confirmed,1704,15
snapshot_confirmed,1820,1
snapshot_confirmed,1862,15
snapshot_confirmed,1978,1
snapshot_confirmed,2020,15
snapshot_confirmed,2134,1
snapshot_confirmed,2183,15
snapshot_confirmed,2294,1
snapshot_confirmed,2334,15
snapshot_confirmed,2441,1
snapshot_confirmed,2485,15
snapshot_confirmed,2594,1
snapshot_confirmed,2635,15
snapshot_confirmed,2744,1
snapshot_confirmed,2791,15
snapshot_confirmed,2900,1
snapshot_confirmed,2947,15
snapshot_confirmed,3094,1
snapshot_confirmed,3137,15
snapshot_confirmed,3279,1
snapshot_confirmed,3321,15
snapshot_confirmed,3436,1
snapshot_confirmed,3479,15
snapshot_confirmed,3608,1
snapshot_confirmed,3648,15
snapshot_confirmed,3767,1
snapshot_confirmed,3815,15
snapshot_confirmed,3937,1
snapshot_confirmed,3989,15
snapshot_confirmed,4102,1
snapshot_confirmed,4145,15
snapshot_confirmed,4256,1
snapshot_confirmed,4302,15
snapshot_confirmed,4420,1
snapshot_confirmed,4456,15
snapshot_confirmed,4597,1
snapshot_confirmed,4640,15
snapshot_confirmed,4750,1
snapshot_confirmed,4794,15
snapshot_confirmed,4905,1
snapshot_confirmed,4955,15
snapshot_confirmed,5070,1
snapshot_confirmed,5151,15
snapshot_confirmed,5263,1
snapshot_confirmed,5301,15
snapshot_confirmed,5464,1
snapshot_confirmed,5504,15
snapshot_confirmed,5614,1
snapshot_confirmed,5663,15
