node_emit_ms,client_recv_ms
0,0
7,7
34,34
44,43
49,49
55,55
61,61
68,67
73,73
78,78
84,84
90,90
96,96
102,102
108,108
114,114
167,166
196,196
198,197
204,204
211,211
218,218
226,226
234,234
242,242
248,248
261,262
287,287
294,294
301,301
307,307
313,313
338,338
359,359
366,366
372,372
379,379
396,396
403,403
410,409
416,416
421,421
426,426
433,432
439,439
444,444
450,450
456,456
477,477
520,521
520,521
521,521
526,526
533,533
539,539
545,545
550,550
556,556
563,563
568,568
573,573
579,579
585,585
591,591
612,612
647,647
648,647
652,652
658,658
664,664
670,670
678,678
685,685
695,695
701,701
708,708
714,714
720,720
737,737
742,742
764,764
789,790
790,790
796,796
802,802
808,808
814,814
820,820
826,826
832,832
846,846
852,852
858,858
864,864
869,869
875,875
898,897
932,932
933,932
933,933
939,939
945,945
964,964
971,971
979,979
986,986
993,993
1001,1001
1008,1008
1015,1015
1022,1022
1029,1028
1054,1054
1092,1092
1092,1092
1099,1099
1105,1105
1111,1111
1117,1117
1123,1123
1129,1129
1135,1135
1141,1141
1148,1148
1156,1156
1162,1162
1170,1169
1177,1177
1212,1212
1238,1238
1238,1238
1244,1244
1249,1249
1255,1255
1261,1261
1268,1268
1273,1273
1281,1281
1288,1287
1294,1294
1312,1312
1318,1318
1324,1324
1331,1330
1352,1352
1376,1376
1376,1376
1382,1382
1388,1388
1394,1394
1401,1401
1407,1407
1423,1423
1429,1429
1435,1435
1441,1441
1446,1446
1451,1451
1458,1457
1464,1464
1487,1487
1513,1513
1514,1513
1519,1519
1534,1534
1540,1540
1546,1546
1552,1552
1558,1558
1564,1564
1569,1569
1575,1575
1582,1582
1589,1589
1596,1595
1602,1602
1622,1622
1655,1655
1655,1655
1661,1661
1666,1666
1672,1672
1680,1680
1687,1687
1693,1693
1700,1699
1706,1705
1711,1711
1717,1717
1724,1723
1729,1729
1735,1735
1769,1769
1801,1801
1802,1802
1802,1802
1809,1809
1814,1814
1821,1821
1826,1826
1832,1832
1838,1838
1844,1844
1850,1850
1855,1855
1871,1870
1877,1877
1883,1883
1902,1902
1927,1927
1928,1928
1933,1933
1940,1940
1945,1946
1952,1952
1958,1958
1965,1964
1982,1981
1988,1988
1995,1995
2001,2001
2008,2007
2015,2015
2021,2021
2042,2042
2072,2072
2072,2072
2080,2080
2097,2097
2102,2102
2107,2107
2113,2113
2119,2119
2125,2125
2131,2131
2138,2138
2143,2143
2150,2150
2155,2155
2161,2161
2180,2180
2211,2211
2217,2217
2223,2223
2229,2229
2235,2235
2242,2242
2248,2248
2253,2253
2260,2259
2265,2265
2271,2271
2278,2278
2286,2286
2293,2293
2299,2299
2336,2336
2361,2361
2361,2361
2368,2368
2374,2374
2380,2380
2387,2386
2392,2392
2398,2398
2404,2404
2410,2410
2416,2416
2422,2422
2438,2438
2445,2444
2450,2450
2471,2471
2497,2497
2497,2497
2502,2502
2508,2508
2515,2515
2521,2520
2528,2528
2534,2534
2551,2551
2556,2556
2561,2561
2568,2569
2575,2574
2581,2581
2588,2588
2611,2610
2642,2642
2642,2642
2642,2642
2648,2648
2666,2666
2672,2672
2679,2678
2685,2685
2692,2692
2699,2698
2706,2705
2711,2711
2718,2717
2724,2724
2730,2730
2753,2753
2785,2785
2792,2792
2799,2798
2804,2804
2811,2811
2817,2817
2824,2824
2831,2830
2837,2837
2843,2843
2852,2851
2857,2857
2863,2862
2869,2869
2875,2875
2909,2909
2936,2936
2936,2936
2946,2946
2957,2957
2972,2972
2981,2981
2991,2991
3016,3016
3026,3025
3036,3036
3052,3052
3069,3069
3091,3090
3105,3105
3115,3115
3174,3174
3213,3213
3216,3215
3226,3226
3242,3241
3269,3269
3279,3279
3285,3285
3296,3296
3311,3311
3319,3319
3337,3338
3356,3356
3386,3390
3391,3391
3398,3398
3420,3420
3449,3449
3449,3449
3449,3449
3456,3456
3462,3462
3467,3467
3473,3473
3479,3479
3485,3485
3490,3490
3506,3506
3512,3512
3519,3518
3524,3524
3530,3530
3555,3556
3586,3586
3588,3588
3594,3595
3601,3601
3618,3618
3624,3624
3631,3630
3637,3637
3643,3643
3650,3649
3656,3655
3662,3662
3667,3667
3674,3674
3681,3681
3705,3705
3737,3737
3744,3744
3750,3749
3756,3756
3763,3763
3770,3769
3775,3775
3780,3780
3787,3787
3794,3793
3799,3799
3805,3805
3813,3812
3820,3820
3826,3826
3861,3860
3889,3889
3889,3889
3896,3896
3902,3901
3908,3908
3914,3913
3920,3920
3927,3927
3933,3933
3939,3939
3959,3959
3966,3966
3975,3975
3983,3983
3991,3991
4015,4015
4045,4045
4045,4045
4052,4052
4057,4057
4074,4073
4079,4079
4085,4085
4091,4091
4098,4097
4103,4103
4109,4109
4115,4115
4122,4122
4128,4128
4135,4135
4157,4157
4198,4198
4199,4199
4206,4205
4211,4211
4217,4217
4223,4223
4230,4229
4236,4235
4243,4242
4248,4248
4254,4254
4260,4260
4266,4266
4272,4272
4279,4278
