event,ms_since_first_fire,count
txvalid_burst,16998,2000
snapshot_confirmed,130,1
snapshot_confirmed,150,15
snapshot_confirmed,269,1
snapshot_confirmed,291,15
snapshot_confirmed,400,1
snapshot_confirmed,431,15
snapshot_confirmed,540,1
snapshot_confirmed,563,15
snapshot_confirmed,673,1
snapshot_confirmed,694,15
snapshot_confirmed,806,1
snapshot_confirmed,827,15
snapshot_confirmed,934,1
snapshot_confirmed,954,15
snapshot_confirmed,1068,1
snapshot_confirmed,1088,15
snapshot_confirmed,1198,1
snapshot_confirmed,1229,15
snapshot_confirmed,1342,1
snapshot_confirmed,1364,15
snapshot_confirmed,1481,1
snapshot_confirmed,1502,15
snapshot_confirmed,1618,1
snapshot_confirmed,1638,15
snapshot_confirmed,1747,1
snapshot_confirmed,1771,15
snapshot_confirmed,1884,1
snapshot_confirmed,1915,15
snapshot_confirmed,2028,1
snapshot_confirmed,2052,15
snapshot_confirmed,2163,1
snapshot_confirmed,2184,15
snapshot_confirmed,2295,1
snapshot_confirmed,2315,15
snapshot_confirmed,2427,1
snapshot_confirmed,2461,15
snapshot_confirmed,2559,1
snapshot_confirmed,2591,15
snapshot_confirmed,2710,1
snapshot_confirmed,2731,15
snapshot_confirmed,2839,1
snapshot_confirmed,2860,15
snapshot_confirmed,2970,1
snapshot_confirmed,2989,15
snapshot_confirmed,3100,1
snapshot_confirmed,3121,15
snapshot_confirmed,3233,1
snapshot_confirmed,3261,15
snapshot_confirmed,3372,1
snapshot_confirmed,3394,15
snapshot_confirmed,3507,1
snapshot_confirmed,3529,15
snapshot_confirmed,3660,1
snapshot_confirmed,3681,15
snapshot_confirmed,3792,1
snapshot_confirmed,3815,15
snapshot_confirmed,3928,1
snapshot_confirmed,3961,15
snapshot_confirmed,4072,1
snapshot_confirmed,4094,15
snapshot_confirmed,4218,1
snapshot_confirmed,4242,15
snapshot_confirmed,4348,1
snapshot_confirmed,4368,15
snapshot_confirmed,4480,1
snapshot_confirmed,4510,15
snapshot_confirmed,4622,1
snapshot_confirmed,4641,15
snapshot_confirmed,4757,1
snapshot_confirmed,4777,15
snapshot_confirmed,4888,1
snapshot_confirmed,4911,15
snapshot_confirmed,5021,1
snapshot_confirmed,5044,15
snapshot_confirmed,5154,1
snapshot_confirmed,5176,15
snapshot_confirmed,5288,1
snapshot_confirmed,5318,15
snapshot_confirmed,5431,1
snapshot_confirmed,5455,15
snapshot_confirmed,5569,1
snapshot_confirmed,5591,15
snapshot_confirmed,5706,1
snapshot_confirmed,5728,15
snapshot_confirmed,5841,1
snapshot_confirmed,5872,15
snapshot_confirmed,5988,1
snapshot_confirmed,6009,15
snapshot_confirmed,6120,1
snapshot_confirmed,6142,15
snapshot_confirmed,6253,1
snapshot_confirmed,6275,15
snapshot_confirmed,6385,1
snapshot_confirmed,6405,15
snapshot_confirmed,6521,1
snapshot_confirmed,6542,15
snapshot_confirmed,6652,1
snapshot_confirmed,6680,15
snapshot_confirmed,6790,1
snapshot_confirmed,6811,15
snapshot_confirmed,6917,1
snapshot_confirmed,6941,15
snapshot_confirmed,7053,1
snapshot_confirmed,7073,15
snapshot_confirmed,7185,1
snapshot_confirmed,7206,15
snapshot_confirmed,7316,1
snapshot_confirmed,7346,15
snapshot_confirmed,7457,1
snapshot_confirmed,7478,15
snapshot_confirmed,7586,1
snapshot_confirmed,7605,15
snapshot_confirmed,7715,1
snapshot_confirmed,7736,15
snapshot_confirmed,7846,1
snapshot_confirmed,7868,15
snapshot_confirmed,7980,1
snapshot_confirmed,8003,15
snapshot_confirmed,8115,1
snapshot_confirmed,8156,15
snapshot_confirmed,8268,1
snapshot_confirmed,8288,15
snapshot_confirmed,8397,1
snapshot_confirmed,8417,15
snapshot_confirmed,8530,1
snapshot_confirmed,8551,15
snapshot_confirmed,8667,1
snapshot_confirmed,8690,15
snapshot_confirmed,8802,1
snapshot_confirmed,8837,15
snapshot_confirmed,8952,1
snapshot_confirmed,8975,15
snapshot_confirmed,9084,1
snapshot_confirmed,9105,15
snapshot_confirmed,9213,1
snapshot_confirmed,9233,15
snapshot_confirmed,9344,1
snapshot_confirmed,9364,15
snapshot_confirmed,9469,1
