node_emit_ms,client_recv_ms
0,0
49,49
100,101
162,163
201,201
251,251
301,301
351,351
400,400
450,450
500,501
551,551
604,604
650,650
710,710
751,751
800,801
851,851
901,901
951,952
999,1000
1049,1049
1099,1100
1158,1158
1198,1199
1248,1248
1299,1299
1348,1349
1401,1402
1448,1449
1499,1500
1550,1550
1610,1610
1650,1650
1701,1702
1750,1750
1800,1800
1849,1850
1899,1900
1949,1950
1999,1999
2054,2054
2099,2100
2149,2149
2198,2198
2248,2248
2299,2299
2350,2351
2402,2402
2451,2452
2502,2502
2550,2550
2613,2613
2650,2650
2700,2701
2750,2750
2800,2801
2851,2851
2903,2903
2957,2957
3001,3001
3050,3050
3100,3100
3150,3150
3200,3200
3251,3251
3302,3302
3350,3350
3405,3406
3451,3451
3510,3510
3551,3551
3602,3602
3652,3652
3702,3703
3751,3752
3801,3801
3850,3851
3900,3900
3957,3957
3999,3999
4049,4049
4099,4099
4149,4149
4199,4199
4249,4249
4299,4299
4350,4350
4407,4407
4450,4450
4499,4499
4550,4550
4600,4600
4648,4648
4698,4698
4748,4749
4798,4799
4856,4857
4896,4896
4949,4949
4996,4997
5046,5047
5096,5097
5145,5146
5195,5195
5246,5246
5304,5304
5345,5346
5395,5396
5444,5444
5494,5495
5545,5546
5595,5595
5646,5646
5697,5698
5748,5749
5797,5797
5855,5856
5899,5900
5949,5949
