event,ms_since_first_fire,count
txvalid_burst,19440,2000
snapshot_confirmed,149,1
snapshot_confirmed,192,15
snapshot_confirmed,229,1
snapshot_confirmed,338,4
snapshot_confirmed,381,12
snapshot_confirmed,474,4
snapshot_confirmed,522,12
snapshot_confirmed,603,4
snapshot_confirmed,649,12
snapshot_confirmed,741,4
snapshot_confirmed,780,12
snapshot_confirmed,873,4
snapshot_confirmed,913,12
snapshot_confirmed,1012,4
snapshot_confirmed,1056,12
snapshot_confirmed,1150,4
snapshot_confirmed,1189,12
snapshot_confirmed,1334,1
snapshot_confirmed,1369,15
snapshot_confirmed,1518,1
snapshot_confirmed,1558,15
snapshot_confirmed,1690,1
snapshot_confirmed,1739,15
snapshot_confirmed,1849,1
snapshot_confirmed,1890,15
snapshot_confirmed,2008,1
snapshot_confirmed,2049,15
snapshot_confirmed,2155,1
snapshot_confirmed,2194,15
snapshot_confirmed,2303,1
snapshot_confirmed,2345,15
snapshot_confirmed,2451,1
snapshot_confirmed,2491,15
snapshot_confirmed,2599,1
snapshot_confirmed,2641,15
snapshot_confirmed,2752,1
snapshot_confirmed,2793,15
snapshot_confirmed,2903,1
snapshot_confirmed,2942,15
snapshot_confirmed,3072,1
snapshot_confirmed,3115,15
snapshot_confirmed,3229,1
snapshot_confirmed,3267,15
snapshot_confirmed,3416,1
snapshot_confirmed,3455,15
snapshot_confirmed,3572,1
snapshot_confirmed,3615,15
snapshot_confirmed,3720,1
snapshot_confirmed,3759,15
snapshot_confirmed,3871,1
snapshot_confirmed,3912,15
snapshot_confirmed,4025,1
snapshot_confirmed,4067,15
snapshot_confirmed,4177,1
snapshot_confirmed,4254,15
snapshot_confirmed,4361,1
snapshot_confirmed,4402,15
snapshot_confirmed,4517,1
snapshot_confirmed,4558,15
snapshot_confirmed,4669,1
snapshot_confirmed,4709,15
snapshot_confirmed,4821,1
snapshot_confirmed,4871,15
snapshot_confirmed,4984,1
snapshot_confirmed,5087,15
snapshot_confirmed,5214,1
snapshot_confirmed,5249,15
snapshot_confirmed,5393,1
snapshot_confirmed,5443,15
snapshot_confirmed,5554,1
snapshot_confirmed,5594,15
snapshot_confirmed,5702,1
snapshot_confirmed,5745,15
snapshot_confirmed,5852,1
snapshot_confirmed,5896,15
snapshot_confirmed,6008,1
snapshot_confirmed,6052,15
snapshot_confirmed,6164,1
snapshot_confirmed,6207,15
snapshot_confirmed,6320,1
snapshot_confirmed,6362,15
snapshot_confirmed,6472,1
snapshot_confirmed,6514,15
snapshot_confirmed,6630,1
snapshot_confirmed,6679,15
snapshot_confirmed,6794,1
snapshot_confirmed,6833,15
snapshot_confirmed,6942,1
snapshot_confirmed,6983,15
snapshot_confirmed,7092,1
snapshot_confirmed,7141,15
snapshot_confirmed,7255,1
snapshot_confirmed,7296,15
snapshot_confirmed,7408,1
snapshot_confirmed,7450,15
snapshot_confirmed,7561,1
snapshot_confirmed,7601,15
snapshot_confirmed,7717,1
snapshot_confirmed,7757,15
