event,ms_since_first_fire,count
txvalid_burst,4857,565
txvalid_burst,8081,461
txvalid_burst,12261,504
txvalid_burst,19100,765
txvalid_burst,27246,988
txvalid_burst,37117,1072
txvalid_burst,46805,974
snapshot_confirmed,50,1
snapshot_confirmed,122,1
snapshot_confirmed,199,6
snapshot_confirmed,449,11
snapshot_confirmed,1084,33
snapshot_confirmed,3273,91
snapshot_confirmed,6485,100
snapshot_confirmed,10013,100
snapshot_confirmed,15864,100
snapshot_confirmed,23710,100
snapshot_confirmed,32821,100
snapshot_confirmed,44702,100
