event,ms_since_first_fire,count
txvalid_burst,16260,2000
snapshot_confirmed,123,1
snapshot_confirmed,141,15
snapshot_confirmed,248,1
snapshot_confirmed,268,15
snapshot_confirmed,369,1
snapshot_confirmed,388,15
snapshot_confirmed,493,1
snapshot_confirmed,513,15
snapshot_confirmed,615,1
snapshot_confirmed,637,15
snapshot_confirmed,744,1
snapshot_confirmed,763,15
snapshot_confirmed,866,1
snapshot_confirmed,885,15
snapshot_confirmed,994,1
snapshot_confirmed,1013,15
snapshot_confirmed,1115,1
snapshot_confirmed,1143,15
snapshot_confirmed,1254,1
snapshot_confirmed,1275,15
snapshot_confirmed,1380,1
snapshot_confirmed,1400,15
snapshot_confirmed,1510,1
snapshot_confirmed,1530,15
snapshot_confirmed,1634,1
snapshot_confirmed,1653,15
snapshot_confirmed,1763,1
snapshot_confirmed,1788,15
snapshot_confirmed,1898,1
snapshot_confirmed,1926,15
snapshot_confirmed,2022,1
snapshot_confirmed,2053,15
snapshot_confirmed,2159,1
snapshot_confirmed,2178,15
snapshot_confirmed,2287,1
snapshot_confirmed,2309,15
snapshot_confirmed,2416,1
snapshot_confirmed,2436,15
snapshot_confirmed,2544,1
snapshot_confirmed,2568,15
snapshot_confirmed,2678,1
snapshot_confirmed,2695,15
snapshot_confirmed,2801,1
snapshot_confirmed,2830,15
snapshot_confirmed,2926,1
snapshot_confirmed,2957,15
snapshot_confirmed,3063,1
snapshot_confirmed,3080,15
snapshot_confirmed,3186,1
snapshot_confirmed,3204,15
snapshot_confirmed,3311,1
snapshot_confirmed,3329,15
snapshot_confirmed,3439,1
snapshot_confirmed,3460,15
snapshot_confirmed,3563,1
snapshot_confirmed,3580,15
snapshot_confirmed,3687,1
snapshot_confirmed,3717,15
snapshot_confirmed,3816,1
snapshot_confirmed,3847,15
snapshot_confirmed,3953,1
snapshot_confirmed,3974,15
snapshot_confirmed,4080,1
snapshot_confirmed,4101,15
snapshot_confirmed,4206,1
snapshot_confirmed,4224,15
snapshot_confirmed,4330,1
snapshot_confirmed,4348,15
snapshot_confirmed,4457,1
snapshot_confirmed,4477,15
snapshot_confirmed,4587,1
snapshot_confirmed,4626,15
snapshot_confirmed,4721,1
snapshot_confirmed,4749,15
snapshot_confirmed,4856,1
snapshot_confirmed,4876,15
snapshot_confirmed,4984,1
snapshot_confirmed,5004,15
snapshot_confirmed,5116,1
snapshot_confirmed,5135,15
snapshot_confirmed,5250,1
snapshot_confirmed,5274,15
snapshot_confirmed,5382,1
snapshot_confirmed,5411,15
snapshot_confirmed,5508,1
snapshot_confirmed,5544,15
snapshot_confirmed,5651,1
snapshot_confirmed,5670,15
snapshot_confirmed,5778,1
snapshot_confirmed,5798,15
snapshot_confirmed,5905,1
snapshot_confirmed,5923,15
snapshot_confirmed,6031,1
snapshot_confirmed,6049,15
snapshot_confirmed,6160,1
snapshot_confirmed,6179,15
snapshot_confirmed,6284,1
snapshot_confirmed,6302,15
snapshot_confirmed,6414,1
snapshot_confirmed,6447,15
snapshot_confirmed,6550,1
snapshot_confirmed,6569,15
snapshot_confirmed,6685,1
snapshot_confirmed,6704,15
snapshot_confirmed,6812,1
snapshot_confirmed,6832,15
snapshot_confirmed,6935,1
snapshot_confirmed,6955,15
snapshot_confirmed,7062,1
snapshot_confirmed,7091,15
snapshot_confirmed,7273,1
snapshot_confirmed,7294,15
snapshot_confirmed,7405,1
snapshot_confirmed,7428,15
snapshot_confirmed,7536,1
snapshot_confirmed,7567,15
snapshot_confirmed,7683,1
snapshot_confirmed,7701,15
snapshot_confirmed,7811,1
snapshot_confirmed,7829,15
snapshot_confirmed,7939,1
snapshot_confirmed,7956,15
snapshot_confirmed,8063,1
snapshot_confirmed,8082,15
snapshot_confirmed,8182,1
snapshot_confirmed,8200,15
snapshot_confirmed,8306,1
snapshot_confirmed,8327,15
snapshot_confirmed,8431,1
snapshot_confirmed,8453,15
snapshot_confirmed,8558,1
snapshot_confirmed,8584,15
snapshot_confirmed,8689,1
snapshot_confirmed,8708,15
snapshot_confirmed,8840,1
snapshot_confirmed,8859,15
snapshot_confirmed,8961,1
snapshot_confirmed,8980,15
snapshot_confirmed,9087,1
snapshot_confirmed,9105,15
snapshot_confirmed,9213,1
snapshot_confirmed,9232,15
snapshot_confirmed,9336,1
snapshot_confirmed,9356,15
snapshot_confirmed,9469,1
snapshot_confirmed,9502,15
snapshot_confirmed,9628,1
snapshot_confirmed,9647,15
snapshot_confirmed,9756,1
snapshot_confirmed,9775,15
snapshot_confirmed,9882,1
snapshot_confirmed,9903,15
snapshot_confirmed,10013,1
snapshot_confirmed,10033,15
snapshot_confirmed,10146,1
snapshot_confirmed,10173,15
snapshot_confirmed,10283,1
snapshot_confirmed,10302,15
snapshot_confirmed,10412,1
snapshot_confirmed,10432,15
snapshot_confirmed,10539,1
snapshot_confirmed,10560,15
snapshot_confirmed,10668,1
snapshot_confirmed,10686,15
snapshot_confirmed,10791,1
snapshot_confirmed,10811,15
snapshot_confirmed,10920,1
snapshot_confirmed,10938,15
snapshot_confirmed,11052,1
snapshot_confirmed,11080,15
snapshot_confirmed,11184,1
snapshot_confirmed,11203,15
snapshot_confirmed,11309,1
snapshot_confirmed,11331,15
snapshot_confirmed,11439,1
snapshot_confirmed,11459,15
snapshot_confirmed,11563,1
snapshot_confirmed,11583,15
snapshot_confirmed,11696,1
snapshot_confirmed,11716,15
snapshot_confirmed,11825,1
snapshot_confirmed,11854,15
snapshot_confirmed,11946,1
snapshot_confirmed,11978,15
snapshot_confirmed,12086,1
snapshot_confirmed,12107,15
snapshot_confirmed,12212,1
snapshot_confirmed,12234,15
snapshot_confirmed,12341,1
snapshot_confirmed,12361,15
snapshot_confirmed,12471,1
snapshot_confirmed,12492,15
snapshot_confirmed,12604,1
snapshot_confirmed,12637,15
snapshot_confirmed,12747,1
snapshot_confirmed,12766,15
snapshot_confirmed,12873,1
snapshot_confirmed,12893,15
snapshot_confirmed,13000,1
snapshot_confirmed,13019,15
snapshot_confirmed,13119,1
snapshot_confirmed,13140,15
snapshot_confirmed,13255,1
