node_emit_ms,client_recv_ms
0,0
5,5
12,11
18,18
24,24
30,30
35,35
41,40
46,46
52,51
57,57
63,63
69,69
75,75
80,80
91,91
126,126
149,148
149,149
154,154
161,160
166,165
172,171
177,177
183,182
188,187
193,192
197,198
203,202
208,208
214,214
233,233
253,252
276,276
276,276
282,282
286,286
292,291
297,297
302,302
307,307
313,313
319,319
324,324
329,329
343,343
348,348
354,354
373,373
398,398
399,398
403,403
409,408
414,414
418,418
424,424
430,429
435,435
440,440
456,456
461,461
467,466
472,472
478,478
496,496
524,524
524,524
524,524
529,529
535,534
540,539
545,545
550,550
556,556
572,572
578,578
584,584
589,589
594,594
600,599
619,619
651,651
651,651
651,651
657,657
662,662
667,667
683,683
688,689
694,694
700,700
706,706
711,711
717,716
723,723
729,729
748,748
777,777
777,777
777,777
782,782
796,796
801,801
807,806
812,812
818,818
823,823
829,828
834,834
840,840
845,845
851,851
870,870
901,901
901,901
910,910
915,915
921,920
927,926
932,932
937,937
943,943
949,949
955,955
961,960
967,967
973,973
979,979
999,999
1035,1035
1035,1035
1035,1035
1041,1041
1046,1045
1050,1050
1056,1056
1062,1062
1067,1067
1072,1072
1078,1078
1084,1084
1090,1090
1095,1095
1101,1100
1119,1119
1152,1152
1152,1152
1161,1161
1166,1166
1172,1171
1177,1176
1182,1181
1186,1186
1193,1193
1199,1199
1205,1205
1210,1210
1217,1216
1223,1223
1229,1229
1259,1259
1287,1287
1288,1287
1288,1288
1294,1294
1299,1299
1304,1304
1310,1309
1315,1314
1321,1321
1326,1326
1332,1332
1338,1338
1353,1353
1359,1359
1365,1365
1385,1385
1415,1415
1415,1415
1415,1415
1420,1420
1426,1425
1432,1432
1438,1438
1444,1443
1450,1450
1468,1468
1474,1474
1480,1480
1485,1485
1489,1489
1495,1495
1515,1515
1540,1539
1540,1540
1544,1543
1550,1550
1556,1556
1562,1562
1567,1566
1580,1580
1586,1585
1592,1592
1597,1597
1601,1601
1607,1607
1613,1613
1619,1619
1639,1639
1662,1662
1662,1662
1667,1667
1672,1672
1678,1678
1695,1695
1701,1700
1706,1705
1712,1712
1717,1717
1724,1724
1730,1730
1736,1736
1741,1741
1747,1747
1770,1770
1801,1801
1806,1806
1812,1812
1817,1817
1823,1822
1829,1829
1835,1835
1840,1840
1846,1846
1852,1852
1858,1858
1863,1863
1870,1870
1876,1876
1882,1882
1901,1901
1934,1934
1935,1934
1939,1939
1944,1944
1950,1950
1956,1956
1962,1962
1968,1967
1973,1973
1978,1978
1984,1984
1989,1989
1995,1995
2001,2001
2007,2007
2038,2038
2066,2066
2066,2066
2066,2066
2071,2071
2077,2077
2083,2083
2088,2088
2094,2094
2100,2099
2106,2106
2112,2112
2117,2117
2123,2122
2129,2129
2144,2144
2163,2163
2192,2192
2192,2192
2192,2192
2197,2197
2203,2203
2210,2209
2215,2214
2221,2221
2227,2227
2232,2232
2238,2237
2243,2243
2260,2260
2266,2265
2272,2272
2293,2293
2323,2323
2323,2323
2324,2323
2328,2328
2334,2334
2339,2339
2345,2345
2350,2350
2356,2356
2371,2370
2377,2377
2383,2383
2389,2389
2395,2394
2400,2400
2421,2421
2451,2451
2451,2451
2451,2451
2456,2455
2462,2462
2468,2468
2482,2482
2487,2487
2493,2493
2499,2499
