node_emit_ms,client_recv_ms
0,0
6,1
7,2
12,9
18,16
24,22
31,26
37,31
43,37
49,43
55,50
59,54
87,81
92,86
97,91
103,97
163,157
209,205
214,208
220,214
225,220
232,226
237,231
242,236
247,241
251,246
257,251
262,256
267,262
272,267
279,274
284,278
314,309
350,344
387,382
388,383
389,383
390,385
390,385
393,388
399,393
405,399
410,404
425,420
429,424
435,429
441,435
448,443
450,445
485,480
522,519
522,519
524,519
524,519
541,536
551,546
557,551
563,558
567,562
573,568
578,573
584,579
590,584
596,591
602,596
636,631
684,678
685,682
685,682
686,682
687,682
691,685
696,691
701,696
708,703
714,708
722,717
728,723
734,728
739,734
746,741
788,782
826,821
826,821
827,821
828,822
828,823
835,829
840,834
846,840
851,845
856,850
861,856
875,870
881,876
886,880
890,885
927,922
962,956
963,957
963,958
970,964
985,979
990,984
996,991
1003,998
1007,1002
1013,1008
1018,1013
1024,1018
1032,1026
1035,1029
1041,1035
1075,1070
1118,1113
1119,1113
1120,1114
1125,1120
1126,1120
1129,1123
1135,1129
1140,1134
1147,1141
1152,1147
1157,1152
1163,1157
1169,1164
1175,1169
1181,1175
1214,1209
1250,1244
1257,1251
1263,1258
1267,1261
1272,1266
1277,1271
1283,1277
1288,1283
1294,1288
1299,1293
1305,1299
1325,1320
1331,1326
1338,1332
1343,1337
1348,1342
1409,1403
1453,1448
1454,1448
1455,1449
1455,1450
1460,1455
1465,1460
1472,1466
1477,1471
1482,1476
1488,1482
1493,1487
1499,1494
1505,1499
1509,1504
1515,1510
1550,1545
1587,1582
1588,1583
1589,1583
1590,1584
1597,1591
1604,1599
1611,1606
1617,1611
1623,1617
1629,1624
1635,1629
1641,1635
1646,1641
1663,1658
1670,1665
1706,1700
1739,1733
1739,1734
1740,1734
1744,1738
1750,1744
1755,1749
1760,1754
1778,1772
1782,1777
1788,1782
1793,1788
1799,1793
1804,1798
1809,1804
1815,1809
1849,1843
1887,1885
1888,1885
1891,1886
1893,1887
1899,1894
1907,1902
1914,1908
1924,1919
1930,1924
1936,1930
1941,1935
1947,1942
1953,1948
1961,1955
1967,1961
2002,1996
2043,2038
2044,2038
2046,2041
2047,2041
2049,2043
2054,2048
2059,2053
2065,2060
2070,2065
2076,2071
2082,2076
2087,2082
2092,2087
2098,2093
2116,2111
2153,2147
2185,2179
2185,2180
2186,2180
2187,2181
2194,2188
2200,2194
2205,2200
2211,2205
2226,2220
2232,2226
2244,2239
2247,2241
2252,2246
2257,2251
2262,2257
2289,2283
2342,2337
2347,2341
2353,2347
2358,2352
2363,2357
2367,2362
2373,2367
2379,2373
2384,2379
2390,2384
2395,2389
2400,2394
2407,2401
2413,2407
2418,2412
2424,2419
2486,2480
2518,2513
2518,2513
2519,2514
2525,2520
2531,2525
2537,2531
2542,2536
2560,2555
2565,2559
2570,2564
2575,2570
2581,2575
2589,2583
2594,2588
2599,2594
2636,2630
2676,2670
2677,2671
2677,2672
2684,2678
2691,2685
2693,2688
2700,2694
2705,2699
2710,2704
2717,2711
2722,2716
2727,2721
2732,2727
2744,2739
2750,2745
2782,2777
2818,2813
2821,2816
2822,2817
2829,2824
2834,2828
2839,2833
2845,2840
2849,2844
2855,2849
2860,2854
2866,2861
2874,2868
2881,2876
2926,2921
2927,2922
2928,2922
2957,2952
2958,2953
2963,2958
2969,2963
2974,2968
2980,2974
2986,2980
2991,2986
2998,2993
3003,2998
3017,3011
3022,3016
3027,3021
3063,3057
3063,3058
3064,3059
3098,3093
3099,3093
3100,3094
3101,3095
3106,3101
3113,3107
3126,3120
3131,3125
3135,3130
3141,3135
3147,3142
3153,3148
3160,3154
3198,3193
3199,3194
3200,3194
3239,3234
3239,3234
3243,3237
3249,3243
3254,3248
3259,3254
3264,3259
3270,3264
3276,3271
3282,3276
3288,3282
3293,3287
3301,3296
3335,3329
3335,3330
3336,3331
3375,3370
3376,3370
3377,3371
3383,3378
3390,3385
3397,3391
3402,3396
3407,3401
3413,3407
3418,3412
3424,3419
3430,3424
3436,3430
3474,3469
3475,3469
3476,3471
3512,3506
3513,3507
3516,3510
3517,3511
3517,3512
3518,3513
3525,3519
3531,3525
3537,3532
3543,3537
3549,3543
3554,3548
3560,3554
3607,3603
3608,3603
3609,3603
3643,3638
3644,3638
3645,3639
3645,3640
3653,3647
3659,3654
3664,3659
3670,3665
3675,3670
3681,3675
3696,3690
3702,3696
3708,3703
3741,3736
3742,3737
3743,3738
3778,3773
3779,3773
3780,3774
3781,3775
3786,3780
3792,3786
3812,3806
3818,3812
3824,3818
3829,3824
3835,3829
3841,3835
3846,3841
3886,3882
3887,3882
3887,3882
3922,3916
3922,3917
3926,3921
3932,3926
3938,3932
3944,3938
3949,3943
3954,3949
3959,3954
3965,3959
3970,3964
3976,3971
3983,3977
4018,4013
4019,4014
4020,4014
4061,4055
4061,4056
4062,4057
4067,4061
4073,4067
4079,4073
4087,4081
4093,4088
4100,4094
4105,4099
4110,4104
4116,4111
4122,4116
4156,4151
4157,4152
4161,4156
4195,4190
4196,4191
4197,4191
4201,4196
4202,4196
4207,4202
4213,4207
4220,4214
4224,4218
4231,4226
4236,4230
4242,4236
4264,4258
4294,4289
4295,4290
4296,4290
4329,4323
4330,4324
4332,4327
4335,4330
4336,4331
4341,4335
4347,4342
4354,4348
4359,4354
4375,4370
4380,4375
4387,4381
4422,4417
4423,4417
4425,4419
4430,4424
4470,4464
4473,4467
4473,4468
4474,4469
4477,4471
4486,4480
4492,4486
4498,4492
4504,4498
4509,4504
4515,4509
4521,4516
4556,4551
4557,4551
4558,4552
4559,4553
4596,4592
4597,4592
4601,4595
4612,4606
4617,4612
4658,4653
4668,4664
4675,4670
4680,4675
4687,4681
4693,4687
4699,4694
4744,4739
4745,4739
4746,4740
4747,4741
4787,4781
4787,4782
4788,4783
4789,4783
4796,4790
4799,4793
4805,4799
4811,4806
4826,4821
4831,4825
4836,4830
4841,4835
4882,4877
4883,4878
4884,4878
4885,4879
4932,4926
4933,4927
4933,4928
4934,4928
4937,4932
4938,4933
4948,4942
4952,4947
4958,4952
4964,4958
4969,4964
4975,4969
5011,5007
5012,5007
5013,5007
5014,5008
5053,5049
5054,5049
5056,5050
5060,5054
5065,5060
5071,5066
5076,5071
5082,5076
5088,5083
5093,5087
5098,5093
5104,5098
5140,5135
5141,5137
5142,5137
5142,5137
5185,5180
5186,5180
5187,5181
5190,5185
5191,5185
5196,5190
5201,5195
5206,5201
5211,5206
5217,5211
5222,5216
5228,5223
5271,5265
5272,5267
5273,5267
5274,5268
5307,5306
5308,5306
5311,5306
5311,5306
5318,5312
5324,5319
5329,5324
5335,5329
5340,5334
5346,5340
5351,5346
5358,5352
5400,5395
5401,5395
5402,5396
5402,5397
5437,5431
5438,5432
5438,5433
5439,5433
5443,5438
5449,5443
5455,5449
5461,5455
5467,5461
5473,5467
5494,5489
5498,5493
5533,5530
5534,5530
5534,5530
5535,5530
5573,5567
5574,5568
5574,5569
5575,5570
5579,5573
5585,5580
5592,5586
5606,5600
5610,5605
5615,5609
5620,5614
5625,5619
5679,5674
5684,5679
5685,5680
5692,5686
5697,5692
5703,5697
5723,5718
5733,5728
5745,5740
5750,5744
5756,5751
5762,5757
5768,5762
5773,5767
5778,5773
5784,5778
5857,5852
5899,5895
5899,5895
5900,5896
5901,5896
5902,5896
5907,5902
5914,5908
5920,5915
5926,5920
5931,5925
5945,5939
5950,5944
5956,5950
5962,5957
5967,5962
6003,5997
6040,6044
6040,6044
6046,6044
6050,6044
6055,6050
6060,6055
6066,6060
6071,6065
6077,6071
6084,6078
6091,6085
6096,6090
6101,6095
6105,6100
6116,6110
6149,6143
6192,6187
6193,6188
6194,6189
6199,6194
6205,6199
6210,6204
6216,6210
6224,6218
6227,6222
6233,6228
6239,6233
6244,6238
6249,6243
6255,6249
6261,6255
6306,6301
6348,6342
6349,6343
6349,6344
6356,6351
6359,6354
6365,6360
6371,6366
6376,6370
6382,6376
6397,6392
6403,6397
6408,6403
6414,6408
6420,6414
6424,6418
6459,6453
6507,6501
6508,6503
6509,6504
6515,6509
6520,6514
6526,6520
6531,6525
6536,6531
6542,6537
6548,6543
6554,6549
6558,6553
6564,6559
6569,6564
6575,6569
6613,6607
6652,6647
6653,6647
6654,6648
6654,6649
6659,6654
6665,6659
6670,6664
6680,6674
6686,6680
6692,6686
6700,6694
6709,6704
6716,6710
6730,6725
6735,6730
6773,6767
6809,6803
6812,6806
6813,6807
6816,6811
6817,6811
6819,6813
6824,6819
6830,6825
6847,6841
6853,6847
6858,6852
6863,6857
6869,6864
6878,6872
6883,6877
6915,6910
6955,6949
6958,6952
6959,6953
6960,6954
6966,6961
6972,6966
6979,6973
6984,6978
6989,6984
6995,6989
7000,6994
7006,7000
7012,7006
7018,7012
7023,7018
7058,7052
7104,7099
7105,7099
7106,7100
7106,7101
7113,7107
7118,7112
7124,7118
7129,7124
7136,7130
7141,7135
7149,7144
7152,7147
7158,7152
7164,7158
7170,7165
7211,7205
7245,7241
7246,7241
7246,7241
7250,7244
7256,7251
7261,7256
7273,7268
7280,7275
7297,7292
7303,7298
7308,7303
7314,7309
7322,7316
7326,7321
7331,7326
7357,7352
7405,7399
7405,7400
7406,7401
7407,7401
7411,7405
7416,7410
7453,7448
7454,7449
7455,7449
7456,7450
7461,7455
7466,7461
7472,7466
7477,7471
7482,7476
7488,7483
7520,7514
7521,7516
7528,7522
7535,7530
7542,7536
7547,7541
7588,7585
7588,7585
7589,7585
7590,7585
7591,7585
7593,7587
7601,7595
7606,7600
7612,7606
7617,7611
7664,7659
7665,7659
7668,7663
7669,7663
7672,7667
7678,7672
7720,7715
7721,7715
7722,7716
7723,7717
7723,7718
7728,7723
7744,7739
7749,7743
7754,7748
7760,7754
7793,7788
7796,7791
7797,7792
7798,7792
7800,7794
7806,7800
7842,7836
7842,7837
7843,7838
7844,7839
7858,7852
7863,7858
7869,7863
7875,7869
7882,7876
7887,7881
7920,7915
7921,7915
7924,7918
7924,7919
7927,7922
