event,ms_since_first_fire,count
txvalid_burst,19659,2000
snapshot_confirmed,155,1
snapshot_confirmed,200,15
snapshot_confirmed,309,1
snapshot_confirmed,350,15
snapshot_confirmed,376,1
snapshot_confirmed,514,1
snapshot_confirmed,553,15
snapshot_confirmed,670,1
snapshot_confirmed,709,15
snapshot_confirmed,822,1
snapshot_confirmed,861,15
snapshot_confirmed,975,1
snapshot_confirmed,1013,15
snapshot_confirmed,1132,1
snapshot_confirmed,1170,15
snapshot_confirmed,1285,1
snapshot_confirmed,1334,15
snapshot_confirmed,1440,1
snapshot_confirmed,1477,15
snapshot_confirmed,1591,1
snapshot_confirmed,1630,15
snapshot_confirmed,1732,1
snapshot_confirmed,1768,15
snapshot_confirmed,1884,1
snapshot_confirmed,1922,15
snapshot_confirmed,2036,1
snapshot_confirmed,2078,15
snapshot_confirmed,2213,1
snapshot_confirmed,2252,15
snapshot_confirmed,2288,1
snapshot_confirmed,2405,3
snapshot_confirmed,2449,13
snapshot_confirmed,2476,3
snapshot_confirmed,2611,1
snapshot_confirmed,2650,15
snapshot_confirmed,2683,1
snapshot_confirmed,2804,1
snapshot_confirmed,2844,15
snapshot_confirmed,2957,1
snapshot_confirmed,3005,15
snapshot_confirmed,3145,1
snapshot_confirmed,3185,15
snapshot_confirmed,3335,1
snapshot_confirmed,3386,15
snapshot_confirmed,3508,1
snapshot_confirmed,3546,15
snapshot_confirmed,3653,1
snapshot_confirmed,3696,15
snapshot_confirmed,3808,1
snapshot_confirmed,3845,15
snapshot_confirmed,3870,1
snapshot_confirmed,4009,1
snapshot_confirmed,4044,15
snapshot_confirmed,4158,1
snapshot_confirmed,4197,15
snapshot_confirmed,4367,1
snapshot_confirmed,4403,15
snapshot_confirmed,4479,1
snapshot_confirmed,4550,9
snapshot_confirmed,4634,7
snapshot_confirmed,4706,9
snapshot_confirmed,4773,7
snapshot_confirmed,4835,9
snapshot_confirmed,4901,7
snapshot_confirmed,4964,9
snapshot_confirmed,5044,7
snapshot_confirmed,5106,9
snapshot_confirmed,5201,7
snapshot_confirmed,5256,9
snapshot_confirmed,5333,7
snapshot_confirmed,5400,9
snapshot_confirmed,5473,7
snapshot_confirmed,5536,9
snapshot_confirmed,5673,7
snapshot_confirmed,5742,9
snapshot_confirmed,5809,7
snapshot_confirmed,5871,9
snapshot_confirmed,5936,7
snapshot_confirmed,6003,9
snapshot_confirmed,6078,7
snapshot_confirmed,6138,9
snapshot_confirmed,6222,7
snapshot_confirmed,6250,9
snapshot_confirmed,6348,3
snapshot_confirmed,6385,13
snapshot_confirmed,6483,3
snapshot_confirmed,6520,13
snapshot_confirmed,6621,3
snapshot_confirmed,6664,13
snapshot_confirmed,6772,3
snapshot_confirmed,6808,13
snapshot_confirmed,6915,3
snapshot_confirmed,6958,13
snapshot_confirmed,7054,3
snapshot_confirmed,7105,13
snapshot_confirmed,7196,3
snapshot_confirmed,7237,13
snapshot_confirmed,7341,3
snapshot_confirmed,7380,13
snapshot_confirmed,7481,3
snapshot_confirmed,7517,13
snapshot_confirmed,7625,3
snapshot_confirmed,7665,13
snapshot_confirmed,7786,1
snapshot_confirmed,7818,15
snapshot_confirmed,7935,1
snapshot_confirmed,7973,15
snapshot_confirmed,8091,1
snapshot_confirmed,8132,15
snapshot_confirmed,8244,1
snapshot_confirmed,8283,15
snapshot_confirmed,8402,1
snapshot_confirmed,8456,15
snapshot_confirmed,8570,1
snapshot_confirmed,8612,15
snapshot_confirmed,8749,1
snapshot_confirmed,8805,15
snapshot_confirmed,8917,1
snapshot_confirmed,8963,15
snapshot_confirmed,9213,1
snapshot_confirmed,9255,15
snapshot_confirmed,9379,1
snapshot_confirmed,9416,15
snapshot_confirmed,9537,1
snapshot_confirmed,9586,15
snapshot_confirmed,9709,1
snapshot_confirmed,9746,15
snapshot_confirmed,9856,1
snapshot_confirmed,9903,15
snapshot_confirmed,10022,1
snapshot_confirmed,10064,15
snapshot_confirmed,10181,1
snapshot_confirmed,10231,15
snapshot_confirmed,10344,1
snapshot_confirmed,10379,15
snapshot_confirmed,10489,1
snapshot_confirmed,10529,15
snapshot_confirmed,10650,1
snapshot_confirmed,10692,15
snapshot_confirmed,10836,1
snapshot_confirmed,10873,15
snapshot_confirmed,10985,1
snapshot_confirmed,11029,15
snapshot_confirmed,11144,1
snapshot_confirmed,11180,15
snapshot_confirmed,11295,1
snapshot_confirmed,11334,15
snapshot_confirmed,11454,1
snapshot_confirmed,11506,15
snapshot_confirmed,11616,1
snapshot_confirmed,11665,15
snapshot_confirmed,11784,1
snapshot_confirmed,11825,15
snapshot_confirmed,11954,1
snapshot_confirmed,11992,15
snapshot_confirmed,12105,1
snapshot_confirmed,12152,15
snapshot_confirmed,12267,1
snapshot_confirmed,12307,15
snapshot_confirmed,12426,1
snapshot_confirmed,12467,15
snapshot_confirmed,12604,1
snapshot_confirmed,12645,15
snapshot_confirmed,12761,1
snapshot_confirmed,12813,15
snapshot_confirmed,13003,1
snapshot_confirmed,13044,15
snapshot_confirmed,13169,1
snapshot_confirmed,13209,15
snapshot_confirmed,13255,1
snapshot_confirmed,13367,5
snapshot_confirmed,13420,11
snapshot_confirmed,13525,5
snapshot_confirmed,13567,11
snapshot_confirmed,13666,5
snapshot_confirmed,13697,11
snapshot_confirmed,13835,1
snapshot_confirmed,13872,15
snapshot_confirmed,13981,1
snapshot_confirmed,14017,15
snapshot_confirmed,14131,1
snapshot_confirmed,14168,15
snapshot_confirmed,14273,1
snapshot_confirmed,14318,13
snapshot_confirmed,14408,3
snapshot_confirmed,14452,13
snapshot_confirmed,14552,3
snapshot_confirmed,14593,13
snapshot_confirmed,14702,3
snapshot_confirmed,14742,13
snapshot_confirmed,14849,2
snapshot_confirmed,14883,14
snapshot_confirmed,14992,2
snapshot_confirmed,15028,14
snapshot_confirmed,15127,2
snapshot_confirmed,15163,14
snapshot_confirmed,15277,2
snapshot_confirmed,15314,14
snapshot_confirmed,15418,2
snapshot_confirmed,15452,14
snapshot_confirmed,15557,2
snapshot_confirmed,15591,14
snapshot_confirmed,15697,2
snapshot_confirmed,15736,14
snapshot_confirmed,15771,2
snapshot_confirmed,15896,1
snapshot_confirmed,15929,15
snapshot_confirmed,16043,1
snapshot_confirmed,16080,15
snapshot_confirmed,16190,1
snapshot_confirmed,16226,15
snapshot_confirmed,16333,1
snapshot_confirmed,16371,15
snapshot_confirmed,16482,1
snapshot_confirmed,16520,15
snapshot_confirmed,16636,1
snapshot_confirmed,16681,15
snapshot_confirmed,16791,1
snapshot_confirmed,16828,15
snapshot_confirmed,16943,1
snapshot_confirmed,16980,15
snapshot_confirmed,17096,1
snapshot_confirmed,17136,15
snapshot_confirmed,17328,1
snapshot_confirmed,17370,15
snapshot_confirmed,17477,1
snapshot_confirmed,17525,15
snapshot_confirmed,17645,1
snapshot_confirmed,17682,15
snapshot_confirmed,17770,1
snapshot_confirmed,17833,11
snapshot_confirmed,17918,5
snapshot_confirmed,17973,11
snapshot_confirmed,18050,5
snapshot_confirmed,18101,11
snapshot_confirmed,18181,5
snapshot_confirmed,18236,11
snapshot_confirmed,18325,5
snapshot_confirmed,18373,11
snapshot_confirmed,18460,5
snapshot_confirmed,18502,11
snapshot_confirmed,18599,5
snapshot_confirmed,18656,11
snapshot_confirmed,18736,5
snapshot_confirmed,18788,11
snapshot_confirmed,18864,5
snapshot_confirmed,18916,11
snapshot_confirmed,19060,5
snapshot_confirmed,19115,11
snapshot_confirmed,19193,5
snapshot_confirmed,19248,11
snapshot_confirmed,19350,5
snapshot_confirmed,19394,11
snapshot_confirmed,19485,5
snapshot_confirmed,19531,11
snapshot_confirmed,19631,5
snapshot_confirmed,19666,11
snapshot_confirmed,19701,2
