event,ms_since_first_fire,count
txvalid_burst,16395,2000
snapshot_confirmed,117,1
snapshot_confirmed,135,15
snapshot_confirmed,248,1
snapshot_confirmed,268,15
snapshot_confirmed,374,1
snapshot_confirmed,393,15
snapshot_confirmed,501,1
snapshot_confirmed,521,15
snapshot_confirmed,628,1
snapshot_confirmed,648,15
snapshot_confirmed,756,1
snapshot_confirmed,789,15
snapshot_confirmed,897,1
snapshot_confirmed,917,15
snapshot_confirmed,1023,1
snapshot_confirmed,1041,15
snapshot_confirmed,1152,1
snapshot_confirmed,1172,15
snapshot_confirmed,1279,1
snapshot_confirmed,1298,15
snapshot_confirmed,1407,1
snapshot_confirmed,1427,15
snapshot_confirmed,1531,1
snapshot_confirmed,1550,15
snapshot_confirmed,1661,1
snapshot_confirmed,1694,15
snapshot_confirmed,1802,1
snapshot_confirmed,1822,15
snapshot_confirmed,1935,1
snapshot_confirmed,1953,15
snapshot_confirmed,2061,1
snapshot_confirmed,2080,15
snapshot_confirmed,2194,1
snapshot_confirmed,2215,15
snapshot_confirmed,2323,1
snapshot_confirmed,2357,15
snapshot_confirmed,2466,1
snapshot_confirmed,2489,15
snapshot_confirmed,2612,1
snapshot_confirmed,2633,15
snapshot_confirmed,2741,1
snapshot_confirmed,2761,15
snapshot_confirmed,2872,1
snapshot_confirmed,2892,15
snapshot_confirmed,2996,1
snapshot_confirmed,3017,15
snapshot_confirmed,3128,1
snapshot_confirmed,3195,15
snapshot_confirmed,3307,1
snapshot_confirmed,3327,15
snapshot_confirmed,3440,1
snapshot_confirmed,3461,15
snapshot_confirmed,3564,1
snapshot_confirmed,3585,15
snapshot_confirmed,3690,1
snapshot_confirmed,3708,15
snapshot_confirmed,3819,1
snapshot_confirmed,3844,15
snapshot_confirmed,3952,1
snapshot_confirmed,3972,15
snapshot_confirmed,4081,1
snapshot_confirmed,4100,15
snapshot_confirmed,4209,1
snapshot_confirmed,4227,15
snapshot_confirmed,4338,1
snapshot_confirmed,4358,15
snapshot_confirmed,4466,1
snapshot_confirmed,4486,15
snapshot_confirmed,4593,1
snapshot_confirmed,4627,15
snapshot_confirmed,4724,1
snapshot_confirmed,4752,15
snapshot_confirmed,4865,1
snapshot_confirmed,4887,15
snapshot_confirmed,4996,1
snapshot_confirmed,5018,15
snapshot_confirmed,5126,1
snapshot_confirmed,5146,15
snapshot_confirmed,5256,1
snapshot_confirmed,5281,15
snapshot_confirmed,5389,1
snapshot_confirmed,5408,15
snapshot_confirmed,5520,1
snapshot_confirmed,5551,15
snapshot_confirmed,5665,1
snapshot_confirmed,5684,15
snapshot_confirmed,5793,1
snapshot_confirmed,5812,15
snapshot_confirmed,5919,1
snapshot_confirmed,5937,15
snapshot_confirmed,6041,1
snapshot_confirmed,6060,15
snapshot_confirmed,6178,1
snapshot_confirmed,6205,15
snapshot_confirmed,6301,1
snapshot_confirmed,6330,15
snapshot_confirmed,6435,1
snapshot_confirmed,6454,15
snapshot_confirmed,6559,1
snapshot_confirmed,6577,15
snapshot_confirmed,6686,1
snapshot_confirmed,6706,15
snapshot_confirmed,6813,1
snapshot_confirmed,6832,15
snapshot_confirmed,6939,1
snapshot_confirmed,6958,15
snapshot_confirmed,7068,1
snapshot_confirmed,7086,15
snapshot_confirmed,7198,1
snapshot_confirmed,7227,15
snapshot_confirmed,7333,1
snapshot_confirmed,7353,15
snapshot_confirmed,7468,1
snapshot_confirmed,7486,15
snapshot_confirmed,7598,1
snapshot_confirmed,7619,15
snapshot_confirmed,7730,1
snapshot_confirmed,7750,15
snapshot_confirmed,7859,1
snapshot_confirmed,7877,15
snapshot_confirmed,7995,1
snapshot_confirmed,8024,15
snapshot_confirmed,8134,1
snapshot_confirmed,8153,15
snapshot_confirmed,8261,1
snapshot_confirmed,8282,15
snapshot_confirmed,8389,1
snapshot_confirmed,8408,15
snapshot_confirmed,8514,1
snapshot_confirmed,8535,15
snapshot_confirmed,8643,1
snapshot_confirmed,8662,15
snapshot_confirmed,8771,1
snapshot_confirmed,8801,15
snapshot_confirmed,8908,1
snapshot_confirmed,8928,15
snapshot_confirmed,9036,1
snapshot_confirmed,9057,15
snapshot_confirmed,9164,1
snapshot_confirmed,9185,15
snapshot_confirmed,9294,1
snapshot_confirmed,9316,15
snapshot_confirmed,9427,1
snapshot_confirmed,9448,15
snapshot_confirmed,9558,1
snapshot_confirmed,9589,15
snapshot_confirmed,9687,1
snapshot_confirmed,9716,15
snapshot_confirmed,9827,1
snapshot_confirmed,9849,15
snapshot_confirmed,9959,1
snapshot_confirmed,9982,15
snapshot_confirmed,10089,1
snapshot_confirmed,10110,15
snapshot_confirmed,10221,1
snapshot_confirmed,10244,15
snapshot_confirmed,10350,1
snapshot_confirmed,10368,15
snapshot_confirmed,10478,1
snapshot_confirmed,10507,15
snapshot_confirmed,10628,1
snapshot_confirmed,10647,15
snapshot_confirmed,10755,1
snapshot_confirmed,10774,15
snapshot_confirmed,10882,1
snapshot_confirmed,10901,15
snapshot_confirmed,11007,1
snapshot_confirmed,11026,15
snapshot_confirmed,11143,1
snapshot_confirmed,11162,15
snapshot_confirmed,11280,1
snapshot_confirmed,11308,15
snapshot_confirmed,11411,1
snapshot_confirmed,11430,15
snapshot_confirmed,11537,1
snapshot_confirmed,11558,15
snapshot_confirmed,11668,1
snapshot_confirmed,11687,15
snapshot_confirmed,11827,1
snapshot_confirmed,11844,15
snapshot_confirmed,11948,1
snapshot_confirmed,11979,15
snapshot_confirmed,12086,1
snapshot_confirmed,12106,15
snapshot_confirmed,12216,1
snapshot_confirmed,12236,15
snapshot_confirmed,12338,1
snapshot_confirmed,12358,15
snapshot_confirmed,12463,1
snapshot_confirmed,12484,15
snapshot_confirmed,12593,1
snapshot_confirmed,12613,15
snapshot_confirmed,12719,1
snapshot_confirmed,12740,15
snapshot_confirmed,12850,1
snapshot_confirmed,12882,15
snapshot_confirmed,12991,1
snapshot_confirmed,13011,15
snapshot_confirmed,13119,1
snapshot_confirmed,13141,15
snapshot_confirmed,13257,1
snapshot_confirmed,13276,15
snapshot_confirmed,13388,1
snapshot_confirmed,13406,15
snapshot_confirmed,13517,1
snapshot_confirmed,13544,15
snapshot_confirmed,13656,1
snapshot_confirmed,13677,15
snapshot_confirmed,13783,1
snapshot_confirmed,13803,15
snapshot_confirmed,13921,1
snapshot_confirmed,13936,15
snapshot_confirmed,14048,1
snapshot_confirmed,14067,15
snapshot_confirmed,14184,1
snapshot_confirmed,14214,15
snapshot_confirmed,14312,1
snapshot_confirmed,14342,15
snapshot_confirmed,14448,1
snapshot_confirmed,14466,15
snapshot_confirmed,14575,1
snapshot_confirmed,14593,15
snapshot_confirmed,14705,1
snapshot_confirmed,14725,15
snapshot_confirmed,14837,1
snapshot_confirmed,14856,15
snapshot_confirmed,14964,1
snapshot_confirmed,14986,15
snapshot_confirmed,15095,1
snapshot_confirmed,15122,15
snapshot_confirmed,15233,1
snapshot_confirmed,15252,15
snapshot_confirmed,15360,1
snapshot_confirmed,15381,15
snapshot_confirmed,15494,1
snapshot_confirmed,15515,15
snapshot_confirmed,15622,1
snapshot_confirmed,15644,15
snapshot_confirmed,15756,1
snapshot_confirmed,15776,15
snapshot_confirmed,15886,1
snapshot_confirmed,15914,15
snapshot_confirmed,16022,1
snapshot_confirmed,16040,15
snapshot_confirmed,16148,1
snapshot_confirmed,16168,15
snapshot_confirmed,16276,1
snapshot_confirmed,16294,15
snapshot_confirmed,16401,1
snapshot_confirmed,16422,15
