node_emit_ms,client_recv_ms
0,0
5,5
11,11
17,17
22,22
28,28
34,34
39,39
44,44
58,58
64,64
70,70
76,76
81,81
87,87
93,93
123,122
147,147
147,147
153,152
158,158
176,176
182,182
187,187
192,191
197,197
203,202
208,208
214,213
219,219
225,225
231,231
250,250
276,275
276,276
291,291
297,297
303,303
309,308
314,314
320,320
326,326
332,331
337,337
343,343
349,349
355,355
362,361
383,383
423,423
423,423
430,429
435,435
440,440
445,445
452,451
457,457
464,463
469,469
476,475
481,481
488,487
494,493
500,499
525,525
549,549
549,549
555,554
560,560
566,566
572,572
578,577
583,583
589,589
595,595
601,601
606,606
612,612
628,627
633,633
650,650
677,677
677,677
677,677
683,683
689,689
695,695
701,701
707,707
713,712
718,718
725,724
741,741
747,747
753,753
759,758
777,777
801,801
802,801
807,807
812,812
818,818
824,824
830,830
836,836
851,851
856,856
862,862
868,868
874,873
880,879
885,885
910,909
943,943
943,943
943,943
949,949
966,965
972,972
980,980
985,985
991,991
997,997
1003,1003
1008,1008
1014,1014
1022,1021
1028,1028
1048,1048
1081,1081
1082,1081
1088,1088
1094,1094
1100,1099
1105,1105
1111,1111
1117,1117
1123,1122
1128,1128
1134,1134
1139,1139
1145,1144
1150,1150
1156,1156
1180,1180
1210,1210
1211,1211
1216,1215
1222,1222
1227,1227
1232,1232
1238,1237
1243,1243
1249,1249
1256,1255
1261,1261
1266,1266
1273,1272
1278,1278
1284,1284
1311,1311
1335,1335
1335,1335
1341,1341
1347,1347
1353,1353
1358,1358
1364,1364
1371,1371
1376,1375
1381,1381
1387,1387
1393,1393
1410,1409
1415,1415
1421,1421
1438,1439
1471,1471
1472,1472
1472,1472
1472,1472
1477,1477
1483,1483
1489,1488
1494,1494
1500,1500
1506,1506
1523,1523
1530,1529
1536,1536
1543,1542
1548,1548
1570,1569
1597,1596
1597,1596
1598,1597
1604,1603
1609,1609
1614,1614
1620,1620
1634,1634
1640,1640
1646,1646
1652,1652
1657,1657
1663,1663
1671,1670
1677,1676
1698,1698
1731,1731
1731,1731
1731,1731
1732,1732
1749,1749
1755,1755
1760,1760
1767,1767
1773,1773
1778,1778
1784,1783
1790,1789
1795,1795
1800,1800
1807,1806
1826,1826
1851,1850
1860,1860
1866,1866
1877,1877
1883,1883
1890,1889
1895,1895
1901,1901
1907,1907
1913,1912
1918,1918
1924,1924
1930,1930
1936,1936
1942,1942
1976,1975
2006,2006
2006,2006
2007,2006
2012,2012
2017,2016
2022,2022
2031,2031
2037,2037
2043,2043
2049,2048
2054,2054
2059,2059
2065,2064
2071,2071
2087,2087
2136,2136
2166,2166
2167,2167
2172,2171
2177,2177
2182,2182
2197,2197
2203,2203
2208,2208
2214,2213
2219,2219
2224,2224
2230,2229
2235,2234
2240,2240
2246,2246
2267,2267
2291,2291
2292,2292
2307,2307
2312,2312
2317,2317
2322,2322
2328,2327
2333,2333
2338,2338
2344,2344
2350,2349
2355,2355
2361,2361
2367,2367
2373,2372
2391,2390
2422,2422
2426,2426
2433,2433
2438,2438
2444,2444
2449,2449
2454,2454
2459,2459
2465,2464
2470,2470
2475,2475
2481,2481
2487,2487
2492,2492
2498,2498
2520,2520
2552,2553
2558,2557
2558,2557
2563,2563
2569,2569
2574,2574
2580,2579
2585,2585
