node_emit_ms,client_recv_ms
0,0
49,49
100,100
151,150
201,200
257,257
301,300
350,349
401,400
453,452
501,500
551,550
601,601
652,651
712,712
752,751
801,801
852,851
901,900
950,950
1000,999
1067,1067
1101,1100
1158,1157
1200,1199
1250,1250
1301,1300
1350,1350
1401,1400
1451,1451
1501,1500
1549,1549
1605,1604
1652,1651
1713,1712
1752,1751
1802,1801
1850,1850
1901,1901
1951,1951
2001,2001
2053,2053
2102,2102
2162,2161
2203,2202
2254,2254
2303,2303
2353,2352
2402,2402
2451,2450
2500,2499
2550,2549
2610,2609
2650,2650
2701,2701
2750,2749
2801,2800
2851,2851
2901,2901
2951,2951
3001,3000
3059,3058
3102,3101
3152,3151
3203,3202
3252,3251
3303,3302
3353,3353
3404,3403
3455,3454
3507,3506
3555,3554
3613,3612
3653,3653
3706,3706
3754,3754
3806,3805
3855,3855
3908,3907
3957,3956
4003,4003
4062,4062
4104,4103
4153,4153
4204,4203
4253,4253
4305,4304
4357,4357
4406,4406
4455,4455
4511,4510
4555,4554
4606,4606
4654,4654
4705,4705
4754,4754
4807,4807
4855,4855
4907,4907
4958,4958
5009,5008
5070,5070
5109,5108
5159,5158
5209,5209
5260,5259
5309,5308
5359,5359
5409,5409
5460,5459
5518,5517
5562,5561
5610,5610
5659,5658
5708,5708
5759,5759
5809,5809
5859,5858
5909,5909
5963,5962
