event,ms_since_first_fire,count
txvalid_burst,15248,2000
snapshot_confirmed,51,1
snapshot_confirmed,166,3
snapshot_confirmed,458,15
snapshot_confirmed,1186,43
snapshot_confirmed,1927,100
snapshot_confirmed,2030,100
snapshot_confirmed,2378,1
snapshot_confirmed,3288,51
snapshot_confirmed,3704,100
snapshot_confirmed,4021,83
snapshot_confirmed,4858,44
snapshot_confirmed,5517,100
snapshot_confirmed,5616,100
snapshot_confirmed,5960,1
snapshot_confirmed,6922,49
snapshot_confirmed,7305,100
snapshot_confirmed,7626,83
snapshot_confirmed,8442,43
snapshot_confirmed,9095,100
snapshot_confirmed,9209,100
snapshot_confirmed,9614,1
snapshot_confirmed,10690,58
snapshot_confirmed,10813,100
snapshot_confirmed,11244,43
snapshot_confirmed,12268,60
snapshot_confirmed,12389,100
snapshot_confirmed,12766,41
snapshot_confirmed,13832,55
snapshot_confirmed,13978,100
snapshot_confirmed,14420,46
snapshot_confirmed,15262,66
snapshot_confirmed,15363,100
snapshot_confirmed,15405,13
