node_emit_ms,client_recv_ms
0,0
7,9
29,29
31,31
32,31
43,42
48,47
53,52
58,57
88,87
90,88
100,98
104,103
108,107
113,112
124,123
130,129
136,135
142,141
148,147
154,153
159,158
166,164
171,170
176,175
181,180
223,222
229,228
230,229
236,235
241,240
247,246
252,251
257,255
261,260
267,266
273,271
278,277
284,283
291,290
297,295
302,301
314,313
320,319
337,336
344,343
350,348
357,355
366,364
369,367
374,373
379,378
386,384
393,391
398,397
404,403
409,408
416,415
421,420
426,425
433,431
447,446
454,452
461,460
466,465
472,470
478,477
484,482
490,489
543,542
548,547
558,556
559,557
564,563
566,565
570,569
572,570
577,576
582,581
588,587
590,589
594,593
596,595
600,599
602,600
606,605
611,610
618,616
624,622
630,628
634,633
641,639
647,645
652,651
676,674
681,680
686,685
693,692
699,697
704,703
710,709
716,715
723,721
729,728
735,734
742,740
747,745
752,751
758,757
763,762
770,769
775,774
791,790
803,802
810,808
816,814
821,820
827,826
834,832
840,838
845,844
853,852
859,858
865,864
870,869
878,876
885,884
890,889
906,905
914,913
920,918
926,925
932,930
937,936
945,943
951,950
956,955
960,959
965,964
975,974
978,977
983,982
989,987
996,994
1003,1001
1020,1018
1025,1024
1031,1030
1038,1036
1044,1042
1051,1049
1056,1055
1062,1060
1068,1067
1074,1073
1079,1078
1086,1084
1090,1089
1131,1130
1142,1141
1148,1147
1154,1152
1159,1158
1165,1164
1172,1170
1177,1176
1182,1181
1188,1186
1193,1192
1199,1198
1205,1203
1209,1208
1216,1215
1221,1220
1228,1227
1232,1231
1246,1244
1250,1249
1259,1257
1264,1263
1271,1269
1373,1380
1373,1380
1374,1380
1375,1380
1378,1380
1379,1380
1379,1380
1380,1380
1381,1380
1382,1380
1383,1381
1384,1382
1384,1383
1385,1384
1385,1384
1389,1387
1396,1394
1400,1399
1407,1405
1412,1411
1417,1416
1423,1422
1429,1427
1434,1433
1441,1440
1445,1444
1452,1450
1457,1456
1475,1474
1481,1480
1488,1487
1495,1493
1501,1499
1506,1505
1513,1512
1520,1518
1527,1526
1533,1532
1540,1538
1547,1546
1553,1551
1558,1557
1565,1564
1571,1569
1587,1586
1594,1592
1600,1599
1607,1606
1611,1610
1618,1617
1624,1622
1629,1628
1635,1634
1642,1641
1648,1646
1653,1652
1660,1659
1667,1665
1673,1671
1678,1677
1684,1682
1799,1798
1831,1830
1832,1831
1840,1839
1845,1844
1851,1849
1857,1856
1863,1862
1869,1868
1881,1880
1887,1886
1893,1892
1900,1899
1906,1905
1912,1911
1927,1926
1934,1933
1939,1938
1946,1944
1952,1950
1958,1957
1963,1962
1972,1971
1978,1976
2040,2039
2042,2041
2043,2041
2049,2048
2053,2052
2055,2054
2059,2058
2065,2064
2070,2069
2072,2070
2077,2075
2078,2077
2082,2081
2083,2082
2089,2088
2095,2094
2096,2094
2102,2101
2107,2106
2113,2111
2118,2116
2124,2123
2130,2128
2137,2135
2156,2154
2161,2159
2167,2166
2173,2172
2178,2177
2185,2184
2192,2191
2199,2197
2203,2202
2209,2208
2215,2214
2221,2220
2227,2225
2232,2231
2239,2238
2245,2244
2267,2266
2273,2271
2278,2276
2284,2283
2291,2290
2297,2296
2303,2302
2309,2307
2315,2314
2321,2319
2326,2325
2333,2331
2338,2337
2344,2343
2351,2350
2357,2356
2363,2362
2384,2383
2390,2389
2396,2395
2403,2401
2409,2408
2415,2414
2421,2420
2427,2426
2433,2432
2439,2438
2445,2443
2451,2449
2456,2455
2462,2461
2467,2466
2473,2472
2479,2478
2497,2496
2503,2501
2510,2509
2515,2513
2521,2520
2528,2526
2537,2536
2542,2541
2548,2547
2554,2553
2560,2559
2565,2564
2571,2569
2577,2575
2583,2582
2588,2587
2594,2593
2612,2611
2617,2615
2623,2622
2629,2627
2634,2633
2640,2638
2646,2645
2652,2650
2659,2658
2664,2662
2755,2759
2756,2759
2757,2759
2760,2760
2761,2760
2762,2761
2763,2761
2763,2762
2764,2763
2765,2764
2766,2765
2766,2765
2768,2767
2777,2775
2782,2781
2792,2791
2799,2798
2805,2803
2810,2809
2816,2814
2822,2821
2835,2834
2842,2840
2848,2847
2853,2852
2860,2859
