event,ms_since_first_fire,count
txvalid_burst,4910,661
txvalid_burst,7864,352
txvalid_burst,11606,475
txvalid_burst,16596,623
txvalid_burst,23661,898
txvalid_burst,32497,1095
txvalid_burst,42582,1246
txvalid_burst,46110,650
snapshot_confirmed,44,1
snapshot_confirmed,81,1
snapshot_confirmed,154,4
snapshot_confirmed,286,7
snapshot_confirmed,617,18
snapshot_confirmed,1562,49
snapshot_confirmed,3909,100
snapshot_confirmed,6277,100
snapshot_confirmed,9582,100
snapshot_confirmed,13808,100
snapshot_confirmed,20235,100
snapshot_confirmed,28443,100
snapshot_confirmed,38329,100
snapshot_confirmed,46107,100
