node_emit_ms,client_recv_ms
0,0
1449,1945
1451,1945
1453,1945
1454,1945
1457,1945
1460,1945
1467,1947
1469,1947
1475,1947
1477,1947
1481,1947
1485,1947
1492,1947
1494,1947
1499,1947
1503,1947
1507,1947
1510,1947
1515,1947
1518,1947
1542,1947
1544,1947
1545,1947
1548,1947
1551,1947
1553,1947
1555,1947
1557,1947
1559,1947
1560,1947
1561,1947
1564,1947
1566,1947
1568,1947
1570,1947
1571,1947
1574,1947
1575,1947
1577,1947
1579,1947
1581,1947
1584,1947
1587,1947
1589,1947
1592,1947
1593,1947
1594,1947
1596,1947
1597,1947
1599,1947
1601,1947
1603,1947
1605,1947
1607,1947
1611,1947
1613,1947
1616,1947
3210,2638
3212,2640
3213,2642
3214,2642
3215,2643
3216,2645
3217,2646
3218,2647
3220,2649
3221,2649
3222,2650
3223,2652
3224,2653
3225,2654
3227,2655
3228,2656
3229,2657
3231,2659
3232,2661
3233,2661
3234,2662
3234,2663
3235,2664
3237,2665
3237,2666
3238,2666
3239,2668
3240,2669
3242,2671
3244,2672
3245,2673
3245,2674
3247,2675
3247,2676
3248,2676
3249,2677
3250,2679
3251,2680
3263,4108
3265,4108
3270,4108
3271,4108
3273,4109
3274,4109
3276,4109
3277,4109
3278,4109
3281,4109
3283,4109
3313,4109
3314,4109
3317,4109
3318,4109
3323,4109
3324,4109
3326,4109
3327,4109
3329,4109
3332,4109
3333,4109
3337,4109
3340,4109
3343,4109
3344,4109
3349,4109
3351,4109
3355,4109
3357,4109
3359,4109
3360,4109
3396,4109
3400,4109
3409,4109
3525,4109
3527,4109
3528,4109
3529,4109
3531,4109
3566,4109
3596,4109
3598,4109
3600,4109
3602,4109
3604,4109
3607,4109
3609,4109
3613,4109
3615,4109
3618,4109
3618,4109
3619,4109
3620,4109
3622,4109
3625,4109
3627,4109
3630,4109
3632,4109
3633,4109
3641,4109
3643,4109
3646,4109
3649,4109
3650,4109
3652,4109
3653,4109
5739,5167
5741,5170
5742,5170
5743,5171
5744,5172
5746,5175
5749,5177
5750,5178
5751,5179
5752,5180
5753,5181
5754,5182
5756,5213
5784,5213
5786,5214
5790,5220
5792,5221
5797,5226
5800,5228
5801,5229
5802,5231
5805,5234
5807,5235
5808,5236
5810,5238
5810,5239
5811,5240
5812,5241
5814,5242
5815,5244
5816,5244
5817,5246
5819,5247
5820,5248
5821,5249
5822,5251
5825,5253
5826,5254
5827,5255
5827,5256
5828,5257
5831,5259
5832,5260
5833,5262
5834,5263
5836,5264
5837,5265
5840,5270
5841,5272
5844,5273
5846,5276
5849,5278
5851,5279
5852,5281
5853,5282
5855,5283
5856,5285
5857,5286
5859,5288
5861,5289
5862,5290
5864,5292
5865,5293
5883,5312
5885,5313
5886,5314
5887,5315
5889,5317
5890,5319
5892,5322
5893,5322
5894,5323
5897,5325
5899,5327
5900,5328
5901,5329
5903,5331
5905,5333
5907,5335
5908,5336
5910,5338
5912,5340
5913,5341
5918,5347
5919,5348
5922,5350
5924,5352
5925,5354
5927,5355
5928,5356
5929,5357
5930,5359
5933,5361
5934,5362
5936,5364
5966,5395
5967,5396
5969,5398
5970,5405
5979,5407
5981,5410
5982,5411
5984,5412
6125,5554
6126,5555
6128,5556
6129,5558
6132,5561
6134,5564
6135,5564
6139,5567
6140,5569
6143,5571
6145,5574
6147,5576
6149,5578
6151,5579
6152,5580
6154,5583
6157,5586
6159,5587
6161,5589
6162,5591
6165,5593
6167,5596
6169,5601
6171,5601
6173,5602
6174,5603
6175,5603
6176,5605
6177,5606
6179,5607
6181,5609
6183,5612
6185,5614
6188,5617
6190,5618
6192,5620
6193,5621
6194,5622
6196,5625
6197,5625
6199,5628
6316,5744
6317,5746
6319,5747
6320,5748
6321,5749
6322,5750
6323,5751
6324,5753
6325,5754
6327,5755
6328,5757
6329,5758
6330,5759
6333,7260
6334,7260
6338,7260
6339,7260
6341,7260
6343,7260
6345,7260
6347,7260
6349,7260
6350,7260
6351,7260
6354,7260
6356,7260
6357,7260
6359,7260
6360,7261
6362,7261
6365,7261
6369,7261
6372,7261
6374,7261
6376,7261
6377,7261
6380,7261
6381,7261
6382,7261
6383,7261
6523,7261
6524,7261
6558,7261
6561,7261
6564,7261
6566,7261
6571,7261
6573,7261
6575,7261
6576,7261
6578,7261
6581,7262
6583,7262
6584,7262
6586,7262
6588,7262
6589,7262
6591,7262
6591,7262
6594,7262
6594,7262
6595,7262
6597,7262
6598,7262
6601,7262
6603,7262
6605,7262
6606,7262
6608,7262
6609,7262
6611,7262
6615,7262
6616,7262
6621,7262
6623,7263
6625,7263
6626,7263
6630,7263
6631,7263
6634,7263
6636,7263
6636,7263
6638,7263
6640,7263
6641,7263
6642,7263
6645,7263
6646,7263
6648,7263
6649,7263
6761,7263
6764,7263
6765,7263
6766,7263
6767,7263
6768,7263
6769,7263
6770,7263
6771,7263
6771,7263
6773,7263
6775,7263
6777,7263
6777,7263
6779,7263
6781,7263
6782,7263
6783,7263
6786,7263
6787,7263
6791,7263
6792,7263
6794,7263
6794,7263
6795,7263
6800,7263
6802,7263
6803,7263
6804,7263
6805,7263
6807,7263
6810,7263
6812,7263
6813,7263
6815,7263
6818,7263
6820,7263
6820,7263
6821,7263
6823,7263
6933,7263
6936,7263
6937,7263
6940,7263
6941,7263
6942,7263
6943,7263
6950,7263
6953,7263
6982,7263
6984,7263
6986,7263
6989,7263
6991,7263
6995,7263
6996,7263
6997,7263
6999,7263
7000,7263
7001,7263
7003,7263
7004,7263
7006,7263
7008,7263
7009,7263
7011,7263
7013,7263
7015,7263
7017,7263
