node_emit_ms,client_recv_ms
0,0
1041,1199
1048,1199
1051,1199
1056,1200
1067,1200
1074,1200
1077,1200
1117,1200
1119,1200
1128,1200
1132,1200
1135,1200
1151,1200
1178,1200
1184,1200
1188,1200
1189,1200
1199,1200
1205,1204
1210,1210
2225,2225
2227,2227
2230,2229
2232,2231
2255,2405
2259,2405
2263,2405
2268,2405
2272,2405
2277,2405
2279,2405
2306,2405
2309,2405
2315,2405
2317,2405
2319,2405
2324,2405
2325,2405
2328,2405
3724,3728
3726,3728
3728,3728
3730,3734
3732,3734
3734,3734
3736,3736
3749,7108
3751,7108
3757,7108
3759,7108
3767,7108
3774,7108
3785,7108
3788,7108
3807,7109
3814,7109
3819,7109
3822,7109
3824,7109
3826,7109
3827,7109
3831,7109
3833,7109
3836,7109
3838,7109
3840,7109
3843,7109
3845,7109
8370,8370
8372,8371
8374,8374
8377,8384
8379,8384
8381,8384
8383,8384
8399,8527
8401,8527
8404,8527
8406,8527
8410,8527
8412,8527
8414,8527
8417,8527
8422,8527
8441,8527
8443,8527
8446,8527
8450,8527
8454,8527
8456,8527
8460,8527
8466,8527
8472,8527
8482,8527
8492,8527
8496,8527
8516,8527
8519,8527
8521,8527
8524,8527
8526,8527
8528,8529
8530,8531
8542,8558
8545,8558
8560,8560
8564,8565
8566,8565
8569,8568
8571,8570
8574,8574
8577,8576
8580,8579
8586,8586
8590,8589
8593,8592
17084,17083
17086,17087
17088,17087
