event,ms_since_first_fire,count
txvalid_burst,588,1
txvalid_burst,2535,57
txvalid_burst,3267,38
txvalid_burst,4697,67
txvalid_burst,6346,157
txvalid_burst,7854,223
txvalid_burst,11355,327
txvalid_burst,13198,347
txvalid_burst,13607,55
txvalid_burst,19006,425
txvalid_burst,19604,51
txvalid_burst,22483,405
txvalid_burst,23231,140
txvalid_burst,28018,49
txvalid_burst,28922,170
txvalid_burst,31196,379
txvalid_burst,34950,740
txvalid_burst,40584,42
txvalid_burst,44430,738
txvalid_burst,47550,818
snapshot_confirmed,2082,1
snapshot_confirmed,4199,1
snapshot_confirmed,7158,94
snapshot_confirmed,12191,100
snapshot_confirmed,20801,100
snapshot_confirmed,32015,100
snapshot_confirmed,45201,100
